region,superzone,Midwest Agg,category,Usual,Country,Interconnection,CountryInterconnect,Summary
CPLE_EI,SERC,CPLE_EI,SERC,SERC,USA,EI,USA-EI,All
CPLW_EI,SERC,CPLW_EI,SERC,SERC,USA,EI,USA-EI,All
CSWS+_EI,SPP,CSWS+_EI,SPP,SPP,USA,EI,USA-EI,All
CT_EI,ISONE,CT_EI,ISONE,ISONE,USA,EI,USA-EI,All
DECO_EI,MISO,DECO_EI,MISO,MISO,USA,EI,USA-EI,All
DOM_EI,PJM,DOM_EI,PJM,PJM,USA,EI,USA-EI,All
DOPD_WI,Columbia Grid,DOPD_WI,NW_BPA_WI,NorthwestUS,USA,WI,USA-WI,All
DUK_EI,SERC,DUK_EI,SERC,SERC,USA,EI,USA-EI,All
DUNWOD_EI,NYISO,DUNWOD_EI,NYISO,NYISO,USA,EI,USA-EI,All
EDE_EI,SPP,EDE_EI,SPP,SPP,USA,EI,USA-EI,All
EES-ARK_EI,MISO,EES-ARK_EI,MISO,MISO,USA,EI,USA-EI,All
EES-TX_EI,MISO,EES-TX_EI,MISO,MISO,USA,EI,USA-EI,All
EMAAC_EI,PJM,EMAAC_EI,PJM,PJM,USA,EI,USA-EI,All
EPE_WI,West Connect,EPE_WI,SW_Other_WI,Southwest,USA,WI,USA-WI,All
FLA_EI,FRCC,FLA_EI,FRCC,FRCC,USA,EI,USA-EI,All
GCPD_WI,Columbia Grid,GCPD_WI,NW_BPA_WI,NorthwestUS,USA,WI,USA-WI,All
GENESE_EI,NYISO,GENESE_EI,NYISO,NYISO,USA,EI,USA-EI,All
Houston_ERC,ERCOT,Houston_ERC,ERCOT_ERC,ERCOT,USA,Texas,USA-Texas,All
HUD VL_EI,NYISO,HUD VL_EI,NYISO,NYISO,USA,EI,USA-EI,All
IA-E_EI,MISO,IA-E_EI,MISO,MISO,USA,EI,USA-EI,All
IID_WI,CAISO,IID_WI,CA_IID_WI,California,USA,WI,USA-WI,All
IL-C_EI,MISO,IL-C_EI,MISO,MISO,USA,EI,USA-EI,All
IN-C_EI,MISO,IN-C_EI,MISO,MISO,USA,EI,USA-EI,All
IN-S_EI,MISO,IN-S_EI,MISO,MISO,USA,EI,USA-EI,All
IPFE_WI,Northern Tier,IPFE_WI,BS_IPCO_WI,RockiesUS,USA,WI,USA-WI,All
IPMV_WI,Northern Tier,IPMV_WI,BS_IPCO_WI,RockiesUS,USA,WI,USA-WI,All
IPTV_WI,Northern Tier,IPTV_WI,BS_IPCO_WI,RockiesUS,USA,WI,USA-WI,All
KCPL+_EI,SPP,KCPL+_EI,SPP,SPP,USA,EI,USA-EI,All
LA-Gulf_EI,MISO,LA-Gulf_EI,MISO,MISO,USA,EI,USA-EI,All
LA-N_EI,MISO,LA-N_EI,MISO,MISO,USA,EI,USA-EI,All
LAMAR-ACDC_EI,SPP,LAMAR-ACDC_EI,LAMAR-ACDC,SPP,USA,EI,USA-EI,All
LDWP_WI,CAISO,LDWP_WI,CA_LDWP_WI,California,USA,WI,USA-WI,All
LES_EI,SPP,LES_EI,SPP,SPP,USA,EI,USA-EI,All
LGEE_EI,TVA,LGEE_EI,TVA,SERC,USA,EI,USA-EI,All
LONGIL_EI,NYISO,LONGIL_EI,NYISO,NYISO,USA,EI,USA-EI,All
MC-ACDC_EI,SPP,MC-ACDC_EI,SPP,SPP,USA,EI,USA-EI,All
MDU_EI,MISO,MDU_EI,MISO,MISO,USA,EI,USA-EI,All
MEC_EI,MISO,MEC_EI,MISO,MISO,USA,EI,USA-EI,All
MH_EI,Manitoba+Sask,MH_EI,MH,MH,Canada,EI,Canada-EI,All
MHK VL_EI,NYISO,MHK VL_EI,NYISO,NYISO,USA,EI,USA-EI,All
MILLWD_EI,NYISO,MILLWD_EI,NYISO,NYISO,USA,EI,USA-EI,All
MISO-MO_EI,MISO,MISO-MO_EI,MISO,MISO,USA,EI,USA-EI,All
MISO-MS_EI,MISO,MISO-MS_EI,MISO,MISO,USA,EI,USA-EI,All
MN-C_EI,MISO,MN+WI,MISO,MISO,USA,EI,USA-EI,All
MN-NE_EI,MISO,MN+WI,MISO,MISO,USA,EI,USA-EI,All
MN-NW_EI,MISO,MN+WI,MISO,MISO,USA,EI,USA-EI,All
MN-SE_EI,MISO,MN+WI,MISO,MISO,USA,EI,USA-EI,All
N.Y.C._EI,NYISO,N.Y.C._EI,NYISO,NYISO,USA,EI,USA-EI,All
NE-ME_EI,ISONE,NE-ME_EI,ISONE,ISONE,USA,EI,USA-EI,All
NEMASSBOST_EI,ISONE,NEMASSBOST_EI,ISONE,ISONE,USA,EI,USA-EI,All
NEVP_WI,West Connect,NEVP_WI,SW_NVE_WI,Southwest,USA,WI,USA-WI,All
NEW_BRUNSWICK_EI,Quebec+NB,NEW_BRUNSWICK_EI,NBSO,Maritimes,Canada,EI,Canada-EI,All
NewFoundland_EI,Quebec+NB,NewFoundland_EI,HQ,HQ,Canada,Quebec,Canada-Quebec,All
NH_EI,Manitoba+Sask,NH_EI,ISONE,ISONE,USA,EI,USA-EI,All
NIPS_EI,MISO,NIPS_EI,MISO,MISO,USA,EI,USA-EI,All
Non-Ercot_ERC,ERCOT,Non-Ercot_ERC,ERCOT_ERC,ERCOT,USA,Texas,USA-Texas,All
NORTH_EI,NYISO,NORTH_EI,NYISO,NYISO,USA,EI,USA-EI,All
North_ERC,ERCOT,North_ERC,ERCOT_ERC,ERCOT,USA,Texas,USA-Texas,All
NPPD_EI,SPP,NPPD_EI,SPP,SPP,USA,EI,USA-EI,All
NWMT_WI,Northern Tier,NWMT_WI,NW_Other_WI,NorthwestUS,USA,WI,USA-WI,All
NWPS_EI,SPP,NWPS_EI,SPP,SPP,USA,EI,USA-EI,All
OKGE_EI,SPP,OKGE_EI,SPP,SPP,USA,EI,USA-EI,All
ONTE_EI,Ontario,ONTE_EI,IESO,IESO,Canada,EI,Canada-EI,All
ONTW_EI,Ontario,ONTW_EI,IESO,IESO,Canada,EI,Canada-EI,All
OPPD_EI,SPP,OPPD_EI,SPP,SPP,USA,EI,USA-EI,All
PACW_WI,Northern Tier,PACW_WI,NW_Other_WI,NorthwestUS,USA,WI,USA-WI,All
PAID_WI,Northern Tier,PAID_WI,BS_PACE_WI,RockiesUS,USA,WI,USA-WI,All
Panhandle_ERC,ERCOT,Panhandle_ERC,ERCOT_ERC,ERCOT,USA,Texas,USA-Texas,All
PAUT_WI,Northern Tier,PAUT_WI,BS_PACE_WI,RockiesUS,USA,WI,USA-WI,All
PAWY_WI,Northern Tier,PAWY_WI,BS_PACE_WI,RockiesUS,USA,WI,USA-WI,All
PGE_WI,Columbia Grid,PGE_WI,NW_Other_WI,NorthwestUS,USA,WI,USA-WI,All
PJM-C_EI,PJM,PJM-C_EI,PJM,PJM,USA,EI,USA-EI,All
PJM-E_EI,PJM,PJM-E_EI,PJM,PJM,USA,EI,USA-EI,All
PJM-W_EI,PJM,PJM-W_EI,PJM,PJM,USA,EI,USA-EI,All
PNM_WI,West Connect,PNM_WI,SW_Other_WI,Southwest,USA,WI,USA-WI,All
PSCO_WI,Mountain West,PSCO_WI,RM_WI,RockiesUS,USA,WI,USA-WI,All
PSEI_WI,Columbia Grid,PSEI_WI,NW_Other_WI,NorthwestUS,USA,WI,USA-WI,All
Quebec_EI,Quebec+NB,Quebec_EI,HQ,HQ,Canada,Quebec,Canada-Quebec,All
RC-ACDC_EI,SPP,RC-ACDC_EI,SPP,SPP,USA,EI,USA-EI,All
RI_EI,ISONE,RI_EI,ISONE,ISONE,USA,EI,USA-EI,All
RMAAC_EI,PJM,RMAAC_EI,PJM,PJM,USA,EI,USA-EI,All
SC_EI,SERC,SC_EI,SERC,SERC,USA,EI,USA-EI,All
SCEG_EI,SERC,SCEG_EI,SERC,SERC,USA,EI,USA-EI,All
SCL_WI,Columbia Grid,SCL_WI,NW_BPA_WI,NorthwestUS,USA,WI,USA-WI,All
SECI_EI,SPP,SECI_EI,SPP,SPP,USA,EI,USA-EI,All
SEMASS_EI,ISONE,SEMASS_EI,ISONE,ISONE,USA,EI,USA-EI,All
SIDNEY-ACDC_EI,SPP,SIDNEY-ACDC_EI,SPP,SPP,USA,EI,USA-EI,All
SIPC_EI,MISO,SIPC_EI,MISO,MISO,USA,EI,USA-EI,All
SOCO_EI,SERC,SOCO_EI,SERC,SERC,USA,EI,USA-EI,All
South_ERC,ERCOT,South_ERC,ERCOT_ERC,ERCOT,USA,Texas,USA-Texas,All
SPA+_EI,SPP,SPA+_EI,SPP,SPP,USA,EI,USA-EI,All
SPC_EI,Manitoba+Sask,SPC_EI,MRO,SaskPower,Canada,EI,Canada-EI,All
SPPC_WI,West Connect,SPPC_WI,SW_NVE_WI,Southwest,USA,WI,USA-WI,All
SPS_EI,SPP,SPS_EI,SPP,SPP,USA,EI,USA-EI,All
SRP_WI,West Connect,SRP_WI,SW_Other_WI,Southwest,USA,WI,USA-WI,All
STEGAL-ACDC_EI,SPP,STEGAL-ACDC_EI,SPP,SPP,USA,EI,USA-EI,All
TEPC_WI,West Connect,TEPC_WI,SW_Other_WI,Southwest,USA,WI,USA-WI,All
TH_Malin_WI,Northern Tier,TH_Malin_WI,TH_WI,NorthwestUS,USA,WI,USA-WI,All
TH_Mead_WI,West Connect,TH_Mead_WI,TH_WI,Southwest,USA,WI,USA-WI,All
TH_PV_WI,West Connect,TH_PV_WI,TH_WI,Southwest,USA,WI,USA-WI,All
TIDC_WI,CAISO,TIDC_WI,BANC_WI,California,USA,WI,USA-WI,All
TPWR_WI,Columbia Grid,TPWR_WI,NW_BPA_WI,NorthwestUS,USA,WI,USA-WI,All
TVAZ_EI,TVA,TVAZ_EI,TVA,SERC,USA,EI,USA-EI,All
UPPC_EI,MISO,UPPC_EI,MISO,MISO,USA,EI,USA-EI,All
VEA_WI,CAISO,VEA_WI,CA_CISO_WI,California,USA,WI,USA-WI,All
VT_EI,ISONE,VT_EI,ISONE,ISONE,USA,EI,USA-EI,All
WACM_WI,Mountain West,WACM_WI,RM_WI,RockiesUS,USA,WI,USA-WI,All
WALC_WI,Mountain West,WALC_WI,SW_Other_WI,Southwest,USA,WI,USA-WI,All
WAPA_DK_EI,SPP,WAPA_DK_EI,SPP,SPP,USA,EI,USA-EI,All
WAUW_WI,Northern Tier,WAUW_WI,NW_Other_WI,NorthwestUS,USA,WI,USA-WI,All
WCMASS_EI,ISONE,WCMASS_EI,ISONE,ISONE,USA,EI,USA-EI,All
WEST_EI,NYISO,WEST_EI,NYISO,NYISO,USA,EI,USA-EI,All
West_ERC,ERCOT,West_ERC,ERCOT_ERC,ERCOT,USA,Texas,USA-Texas,All
WFEC_EI,SPP,WFEC_EI,SPP,SPP,USA,EI,USA-EI,All
WR_EI,SPP,WR_EI,SPP,SPP,USA,EI,USA-EI,All
