region,superzone,Midwest Agg,category,Usual,Country,Interconnection,CountryInterconnect,Summary
01-Central_MX,NA,01-Central_MX,Mexico_MX,Mexico,Mexico,SEN,Mexico-SEN,All
02-Oriental_MX,NA,02-Oriental_MX,Mexico_MX,Mexico,Mexico,SEN,Mexico-SEN,All
03-Occidental_MX,NA,03-Occidental_MX,Mexico_MX,Mexico,Mexico,SEN,Mexico-SEN,All
04-Noroeste_MX,NA,04-Noroeste_MX,Mexico_MX,Mexico,Mexico,SEN,Mexico-SEN,All
05-Norte_MX,NA,05-Norte_MX,Mexico_MX,Mexico,Mexico,SEN,Mexico-SEN,All
06-Noreste_MX,NA,06-Noreste_MX,Mexico_MX,Mexico,Mexico,SEN,Mexico-SEN,All
07-Peninsular_MX,NA,07-Peninsular_MX,Mexico_MX,Mexico,Mexico,SEN,Mexico-SEN,All
08-Baja California_MX,NA,08-Baja California_MX,Mexico_MX,Mexico,Mexico,SEN,Mexico-SEN,All
09-Baja California Sur_MX,NA,09-Baja California Sur_MX,Mexico_MX,Mexico,Mexico,SEN,Mexico-SEN,All
10-Mulege_MX,NA,10-Mulege_MX,Mexico_MX,Mexico,Mexico,SEN,Mexico-SEN,All
AEC_EI,SERC,AEC_EI,SERC,SERC,USA,EI,USA-EI,All
AECIZ_EI,TVA,AECIZ_EI,TVA,SERC,USA,EI,USA-EI,All
AESO_WI,Columbia Grid,AESO_WI,CANADA_WI,AB,Canada,WI,Canada-WI,All
ATC_EI,MISO,MN+WI,MISO,MISO,USA,EI,USA-EI,All
AVA_WI,Columbia Grid,AVA_WI,NW_Other_WI,NorthwestUS,USA,WI,USA-WI,All
AZPS_WI,West Connect,AZPS_WI,SW_Other_WI,Southwest,USA,WI,USA-WI,All
BANC_WI,CAISO,BANC_WI,BANC_WI,California,USA,WI,USA-WI,All
BCHA_WI,Columbia Grid,BCHA_WI,CANADA_WI,BC,Canada,WI,Canada-WI,All
BEPC_EI,SPP,BEPC_EI,SPP,SPP,USA,EI,USA-EI,All
BLACKWATER-ACDC_EI,SPP,BLACKWATER-ACDC_EI,BLACKWATER-ACDC,SPP,USA,EI,USA-EI,All
BPAT_WI,Columbia Grid,BPAT_WI,NW_BPA_WI,NorthwestUS,USA,WI,USA-WI,All
BREC_EI,MISO,BREC_EI,MISO,MISO,USA,EI,USA-EI,All
CAPITL_EI,NYISO,CAPITL_EI,NYISO,NYISO,USA,EI,USA-EI,All
CBPC-NIPCO_EI,SPP,CBPC-NIPCO_EI,SPP,SPP,USA,EI,USA-EI,All
CENTRL_EI,NYISO,CENTRL_EI,NYISO,NYISO,USA,EI,USA-EI,All
CFE_WI,CAISO,CFE_WI,CA_CISO_WI,California,USA,WI,USA-WI,All
CHPD_WI,Columbia Grid,CHPD_WI,NW_BPA_WI,NorthwestUS,USA,WI,USA-WI,All
CIPB_WI,CAISO,CIPB_WI,CA_CISO_WI,California,USA,WI,USA-WI,All
CIPV_WI,CAISO,CIPV_WI,CA_CISO_WI,California,USA,WI,USA-WI,All
CISC_WI,CAISO,CISC_WI,CA_CISO_WI,California,USA,WI,USA-WI,All
CISD_WI,CAISO,CISD_WI,CA_CISO_WI,California,USA,WI,USA-WI,All
CONS_EI,MISO,CONS_EI,MISO,MISO,USA,EI,USA-EI,All
