region,Usual,Country,Interconnection,CountryInterconnect,Summary
BLACKWATER-ACDC_EI,SPP,USA,EI,USA-EI,All
FLA_EI,FRCC,USA,EI,USA-EI,All
NewFoundland_EI,HQ,Canada,Quebec,Canada-Quebec,All
Quebec_EI,HQ,Canada,Quebec,Canada-Quebec,All
ONTE_EI,IESO,Canada,EI,Canada-EI,All
ONTW_EI,IESO,Canada,EI,Canada-EI,All
CT_EI,ISONE,USA,EI,USA-EI,All
NEMASSBOST_EI,ISONE,USA,EI,USA-EI,All
NE-ME_EI,ISONE,USA,EI,USA-EI,All
NH_EI,ISONE,USA,EI,USA-EI,All
RI_EI,ISONE,USA,EI,USA-EI,All
SEMASS_EI,ISONE,USA,EI,USA-EI,All
VT_EI,ISONE,USA,EI,USA-EI,All
WCMASS_EI,ISONE,USA,EI,USA-EI,All
LAMAR-ACDC_EI,SPP,USA,EI,USA-EI,All
MH_EI,MH,Canada,EI,Canada-EI,All
ATC_EI,MISO,USA,EI,USA-EI,All
BREC_EI,MISO,USA,EI,USA-EI,All
CONS_EI,MISO,USA,EI,USA-EI,All
DECO_EI,MISO,USA,EI,USA-EI,All
EES-ARK_EI,MISO,USA,EI,USA-EI,All
EES-TX_EI,MISO,USA,EI,USA-EI,All
IA-E_EI,MISO,USA,EI,USA-EI,All
IL-C_EI,MISO,USA,EI,USA-EI,All
IN-C_EI,MISO,USA,EI,USA-EI,All
IN-S_EI,MISO,USA,EI,USA-EI,All
LA-Gulf_EI,MISO,USA,EI,USA-EI,All
LA-N_EI,MISO,USA,EI,USA-EI,All
MDU_EI,MISO,USA,EI,USA-EI,All
MEC_EI,MISO,USA,EI,USA-EI,All
MISO-MO_EI,MISO,USA,EI,USA-EI,All
MISO-MS_EI,MISO,USA,EI,USA-EI,All
MN-C_EI,MISO,USA,EI,USA-EI,All
MN-NE_EI,MISO,USA,EI,USA-EI,All
MN-NW_EI,MISO,USA,EI,USA-EI,All
MN-SE_EI,MISO,USA,EI,USA-EI,All
NIPS_EI,MISO,USA,EI,USA-EI,All
SIPC_EI,MISO,USA,EI,USA-EI,All
UPPC_EI,MISO,USA,EI,USA-EI,All
SPC_EI,SaskPower,Canada,EI,Canada-EI,All
NEW_BRUNSWICK_EI,Maritimes,Canada,EI,Canada-EI,All
CAPITL_EI,NYISO,USA,EI,USA-EI,All
CENTRL_EI,NYISO,USA,EI,USA-EI,All
DUNWOD_EI,NYISO,USA,EI,USA-EI,All
GENESE_EI,NYISO,USA,EI,USA-EI,All
HUD VL_EI,NYISO,USA,EI,USA-EI,All
LONGIL_EI,NYISO,USA,EI,USA-EI,All
MHK VL_EI,NYISO,USA,EI,USA-EI,All
MILLWD_EI,NYISO,USA,EI,USA-EI,All
N.Y.C._EI,NYISO,USA,EI,USA-EI,All
NORTH_EI,NYISO,USA,EI,USA-EI,All
WEST_EI,NYISO,USA,EI,USA-EI,All
DOM_EI,PJM,USA,EI,USA-EI,All
EMAAC_EI,PJM,USA,EI,USA-EI,All
PJM-C_EI,PJM,USA,EI,USA-EI,All
PJM-E_EI,PJM,USA,EI,USA-EI,All
PJM-W_EI,PJM,USA,EI,USA-EI,All
RMAAC_EI,PJM,USA,EI,USA-EI,All
AEC_EI,SERC,USA,EI,USA-EI,All
CPLE_EI,SERC,USA,EI,USA-EI,All
CPLW_EI,SERC,USA,EI,USA-EI,All
DUK_EI,SERC,USA,EI,USA-EI,All
SC_EI,SERC,USA,EI,USA-EI,All
SCEG_EI,SERC,USA,EI,USA-EI,All
SOCO_EI,SERC,USA,EI,USA-EI,All
BEPC_EI,SPP,USA,EI,USA-EI,All
CBPC-NIPCO_EI,SPP,USA,EI,USA-EI,All
CSWS+_EI,SPP,USA,EI,USA-EI,All
EDE_EI,SPP,USA,EI,USA-EI,All
KCPL+_EI,SPP,USA,EI,USA-EI,All
LES_EI,SPP,USA,EI,USA-EI,All
MC-ACDC_EI,SPP,USA,EI,USA-EI,All
NPPD_EI,SPP,USA,EI,USA-EI,All
NWPS_EI,SPP,USA,EI,USA-EI,All
OKGE_EI,SPP,USA,EI,USA-EI,All
OPPD_EI,SPP,USA,EI,USA-EI,All
RC-ACDC_EI,SPP,USA,EI,USA-EI,All
SECI_EI,SPP,USA,EI,USA-EI,All
