parent,Reserve_Region,Type
Flexibility_rto1,rto1,Flexibility
Flexibility_rto10,rto10,Flexibility
Flexibility_rto11,rto11,Flexibility
Flexibility_rto12,rto12,Flexibility
Flexibility_rto13,rto13,Flexibility
Flexibility_rto14,rto14,Flexibility
Flexibility_rto15,rto15,Flexibility
Flexibility_rto16,rto16,Flexibility
Flexibility_rto17,rto17,Flexibility
Flexibility_rto18,rto18,Flexibility
Flexibility_rto2,rto2,Flexibility
Flexibility_rto3,rto3,Flexibility
Flexibility_rto4,rto4,Flexibility
Flexibility_rto5,rto5,Flexibility
Flexibility_rto6,rto6,Flexibility
Flexibility_rto7,rto7,Flexibility
Flexibility_rto8,rto8,Flexibility
Flexibility_rto9,rto9,Flexibility
Regulation_rto1,rto1,Regulation
Regulation_rto10,rto10,Regulation
Regulation_rto11,rto11,Regulation
Regulation_rto12,rto12,Regulation
Regulation_rto13,rto13,Regulation
Regulation_rto14,rto14,Regulation
Regulation_rto15,rto15,Regulation
Regulation_rto16,rto16,Regulation
Regulation_rto17,rto17,Regulation
Regulation_rto18,rto18,Regulation
Regulation_rto2,rto2,Regulation
Regulation_rto3,rto3,Regulation
Regulation_rto4,rto4,Regulation
Regulation_rto5,rto5,Regulation
Regulation_rto6,rto6,Regulation
Regulation_rto7,rto7,Regulation
Regulation_rto8,rto8,Regulation
Regulation_rto9,rto9,Regulation
Spinning_rto1,rto1,Spinning
Spinning_rto10,rto10,Spinning
Spinning_rto11,rto11,Spinning
Spinning_rto12,rto12,Spinning
Spinning_rto13,rto13,Spinning
Spinning_rto14,rto14,Spinning
Spinning_rto15,rto15,Spinning
Spinning_rto16,rto16,Spinning
Spinning_rto17,rto17,Spinning
Spinning_rto18,rto18,Spinning
Spinning_rto2,rto2,Spinning
Spinning_rto3,rto3,Spinning
Spinning_rto4,rto4,Spinning
Spinning_rto5,rto5,Spinning
Spinning_rto6,rto6,Spinning
Spinning_rto7,rto7,Spinning
Spinning_rto8,rto8,Spinning
Spinning_rto9,rto9,Spinning
