Generator,Latitude,Longitude,PLEXOS Node,reV_Node,PCA,State,Region,PLEXOS Technology,ReEDS Technology,Capacity (MW),SummaryRegion,infrastructure
upv_TechBreak2050_40579_JENKINS_WI,47.2,-120.31,40579_JENKINS_WI,40579_JENKINS,p1,WA,BPAT_WI,PV,pv,292.9,Washington,2050
wind_TechBreak2050_40579_JENKINS_WI,47.2,-120.31,40579_JENKINS_WI,40579_JENKINS,p1,WA,BPAT_WI,Wind,wind-ons,234.7,Washington,2050
wind_TechBreak2050_40590_LAUDERDL_WI,46.99892,-120.563777,40590_LAUDERDL_WI,40590_SMITHSON,p1,WA,BPAT_WI,Wind,wind-ons,96.4,Washington,2050
upv_TechBreak2050_40957_SCHULTZ_WI,47.121518,-120.509013,40957_SCHULTZ_WI,40957_SCHULTZ,p1,WA,BPAT_WI,PV,pv,78,Washington,2050
wind_TechBreak2050_40957_SCHULTZ_WI,47.121518,-120.509013,40957_SCHULTZ_WI,40957_SCHULTZ,p1,WA,BPAT_WI,Wind,wind-ons,251.6,Washington,2050
upv_TechBreak2050_41105_VALHALLA_WI,47.353299,-120.12773,41105_VALHALLA_WI,41105_VALHALLA,p1,WA,BPAT_WI,PV,pv,64.3,Washington,2050
EncogenCC-Total_WI,48.7506,-122.478,42011_ENSERCH1_WI,42011_ENSERCH1,p1,WA,PSEI_WI,Gas-CC,CC_WI,176.4,Washington,2050
SumasPowerCC-Total_WI,48.989969,-122.274169,42021_SUMAS 1_WI,42021_SUMAS 1,p1,WA,PSEI_WI,Gas-CC,CC_WI,139.204,Washington,2050
FerndaleCC-Total_WI,48.83,-122.53,42031_TENASKA1_WI,42031_FERNDL 1,p1,WA,PSEI_WI,Gas-CC,CC_WI,253.47,Washington,2050
Lower_Baker_3_WI,48.542974,-121.731772,42108_BAKER SW_WI,42108_BAKER SW,p1,WA,PSEI_WI,Hydro,Hydro_WI,31,Washington,2050
LowerBaker4_WI,48.542974,-121.731772,42121_LO BAKER_WI,42121_LO BAKER,p1,WA,PSEI_WI,Hydro,Hydro_WI,80.75,Washington,2050
Upper_Baker_1_WI,48.649152,-121.689989,42124_UP BAKER_WI,42124_UP BAKER,p1,WA,PSEI_WI,Hydro,Hydro_WI,52.4,Washington,2050
Upper_Baker_2_WI,48.649152,-121.689989,42124_UP BAKER_WI,42124_UP BAKER,p1,WA,PSEI_WI,Hydro,Hydro_WI,52.4,Washington,2050
Cedar_Falls_5_WI,47.425556,-121.775556,42126_CFALLGEN_WI,42126_CFALLGEN,p1,WA,SCL_WI,Hydro,Hydro_WI,15,Washington,2050
Cedar_Falls_6_WI,47.425556,-121.775556,42126_CFALLGEN_WI,42126_CFALLGEN,p1,WA,SCL_WI,Hydro,Hydro_WI,15,Washington,2050
