parent,Reserve_Region,Type
CAISO_WI_TotRes,CAISO_WI_TotRes,TotRes
Columbia_Grid_WI_TotRes,Columbia_Grid_WI_TotRes,TotRes
ERCOT_ERC_TotRes,ERCOT_ERC_TotRes,TotRes
FRCC_EI_TotRes,FRCC_EI_TotRes,TotRes
HQ_EI_TotRes,HQ_EI_TotRes,TotRes
IESO_EI_TotRes,IESO_EI_TotRes,TotRes
ISONE_EI_TotRes,ISONE_EI_TotRes,TotRes
MH_EI_TotRes,MH_EI_TotRes,TotRes
MISO_EI_TotRes,MISO_EI_TotRes,TotRes
MRO_EI_TotRes,MRO_EI_TotRes,TotRes
Mountain_West_WI_TotRes,Mountain_West_WI_TotRes,TotRes
NBSO_EI_TotRes,NBSO_EI_TotRes,TotRes
NYISO_EI_TotRes,NYISO_EI_TotRes,TotRes
Northern_Tier_WI_TotRes,Northern_Tier_WI_TotRes,TotRes
PJM_EI_TotRes,PJM_EI_TotRes,TotRes
SERC_EI_TotRes,SERC_EI_TotRes,TotRes
SIN+BC_MX_TotRes,SIN+BC_MX_TotRes,TotRes
SPP_EI_TotRes,SPP_EI_TotRes,TotRes
TVA_EI_TotRes,TVA_EI_TotRes,TotRes
West_Connect_WI_TotRes,West_Connect_WI_TotRes,TotRes
