region,Zones
01-Central_MX,SIN+BC_MX
02-Oriental_MX,SIN+BC_MX
03-Occidental_MX,SIN+BC_MX
04-Noroeste_MX,SIN+BC_MX
05-Norte_MX,SIN+BC_MX
06-Noreste_MX,SIN+BC_MX
07-Peninsular_MX,SIN+BC_MX
08-Baja California_MX,SIN+BC_MX
09-Baja California Sur_MX,SIN+BC_MX
10-Mulege_MX,SIN+BC_MX
AEC_EI,SERC_EI
AECIZ_EI,TVA_EI
AESO_WI,Columbia_Grid_WI
ATC_EI,MISO_EI
AVA_WI,Columbia_Grid_WI
AZPS_WI,West_Connect_WI
BANC_WI,CAISO_WI
BCHA_WI,Columbia_Grid_WI
BEPC_EI,SPP_EI
BLACKWATER-ACDC_EI,SPP_EI
BPAT_WI,Columbia_Grid_WI
BREC_EI,MISO_EI
CAPITL_EI,NYISO_EI
CBPC-NIPCO_EI,SPP_EI
CENTRL_EI,NYISO_EI
CHPD_WI,CAISO_WI
CFE_WI,Columbia_Grid_WI
CIPB_WI,CAISO_WI
CIPV_WI,CAISO_WI
CISC_WI,CAISO_WI
CISD_WI,CAISO_WI
CONS_EI,MISO_EI
CPLE_EI,SERC_EI
CPLW_EI,SERC_EI
CSWS+_EI,SPP_EI
CT_EI,ISONE_EI
DECO_EI,MISO_EI
DOM_EI,PJM_EI
DOPD_WI,Columbia_Grid_WI
DUK_EI,SERC_EI
DUNWOD_EI,NYISO_EI
EDE_EI,SPP_EI
EES-ARK_EI,MISO_EI
EES-TX_EI,MISO_EI
EMAAC_EI,PJM_EI
EPE_WI,West_Connect_WI
ERCOT_ERC,ERCOT_ERC
FLA_EI,FRCC_EI
GCPD_WI,Columbia_Grid_WI
GENESE_EI,NYISO_EI
Houston_ERC,ERCOT_ERC
HUD VL_EI,NYISO_EI
IA-E_EI,MISO_EI
IID_WI,West_Connect_WI
IL-C_EI,MISO_EI
IN-C_EI,MISO_EI
IN-S_EI,MISO_EI
IPFE_WI,Northern_Tier_WI
IPMV_WI,Northern_Tier_WI
IPTV_WI,Northern_Tier_WI
KCPL+_EI,SPP_EI
LA-Gulf_EI,MISO_EI
LA-N_EI,MISO_EI
LAMAR-ACDC_EI,SPP_EI
LDWP_WI,CAISO_WI
LES_EI,SPP_EI
LGEE_EI,TVA_EI
LONGIL_EI,NYISO_EI
MC-ACDC_EI,SPP_EI
MDU_EI,MISO_EI
MEC_EI,MISO_EI
MH_EI,MH_EI
MHK VL_EI,NYISO_EI
MILLWD_EI,NYISO_EI
MISO-MO_EI,MISO_EI
MISO-MS_EI,MISO_EI
MN-C_EI,MISO_EI
MN-NE_EI,MISO_EI
MN-NW_EI,MISO_EI
MN-SE_EI,MISO_EI
N.Y.C._EI,NYISO_EI
NE-ME_EI,ISONE_EI
NEMASSBOST_EI,ISONE_EI
NEVP_WI,West_Connect_WI
NEW_BRUNSWICK_EI,NBSO_EI
NewFoundland_EI,HQ_EI
NH_EI,ISONE_EI
NIPS_EI,MISO_EI
Non-Ercot_ERC,ERCOT_ERC
NORTH_EI,NYISO_EI
North_ERC,ERCOT_ERC
NPPD_EI,SPP_EI
NWMT_WI,Northern_Tier_WI
NWPS_EI,SPP_EI
OKGE_EI,SPP_EI
ONTE_EI,IESO_EI
ONTW_EI,IESO_EI
OPPD_EI,SPP_EI
PACW_WI,Northern_Tier_WI
PAID_WI,Northern_Tier_WI
Panhandle_ERC,ERCOT_ERC
PAUT_WI,Northern_Tier_WI
PAWY_WI,Northern_Tier_WI
PGE_WI,Columbia_Grid_WI
PJM-C_EI,PJM_EI
PJM-E_EI,PJM_EI
PJM-W_EI,PJM_EI
PNM_WI,West_Connect_WI
PSCO_WI,Mountain_West_WI
PSEI_WI,Columbia_Grid_WI
Quebec_EI,HQ_EI
QUEBEC_EI,HQ_EI
RC-ACDC_EI,SPP_EI
RI_EI,ISONE_EI
RMAAC_EI,PJM_EI
SC_EI,SERC_EI
SCEG_EI,SERC_EI
SCL_WI,Columbia_Grid_WI
SECI_EI,SPP_EI
SEMASS_EI,ISONE_EI
SIDNEY-ACDC_EI,SPP_EI
SIPC_EI,MISO_EI
SOCO_EI,SERC_EI
South_ERC,ERCOT_ERC
SPA+_EI,SPP_EI
SPC_EI,MRO_EI
SPPC_WI,West_Connect_WI
SPS_EI,SPP_EI
SRP_WI,West_Connect_WI
STEGAL-ACDC_EI,SPP_EI
TEPC_WI,West_Connect_WI
TH_Malin_WI,CAISO_WI
TH_Mead_WI,West_Connect_WI
TH_PV_WI,West_Connect_WI
TIDC_WI,CAISO_WI
TPWR_WI,Columbia_Grid_WI
TVAZ_EI,TVA_EI
UPPC_EI,MISO_EI
VEA_WI,CAISO_WI
VT_EI,ISONE_EI
WACM_WI,Mountain_West_WI
WALC_WI,West_Connect_WI
WAPA_DK_EI,SPP_EI
WAUW_WI,Northern_Tier_WI
WCMASS_EI,ISONE_EI
WEST_EI,NYISO_EI
West_ERC,ERCOT_ERC
WFEC_EI,SPP_EI
WR_EI,SPP_EI
