Ordered_Gen,vre,re,pv,thermal,storage
beccs,,,,TRUE,
nuclear,,,,TRUE,
coal,,,,TRUE,
gas-cc,,,,TRUE,
gas-ct,,,,TRUE,
gas-cc-ccs,,,,TRUE,
re-ct,,,,TRUE,
o-g-s,,,,TRUE,
hydro,,TRUE,,,
biopower,,TRUE,,,
geothermal,,TRUE,,,
onswind,TRUE,TRUE,,,
ofswind,TRUE,TRUE,,,
upv,TRUE,TRUE,TRUE,,
distpv,TRUE,TRUE,TRUE,,
dupv,TRUE,TRUE,TRUE,,
csp,,TRUE,,,
csp-ns,,TRUE,,,
phs,,,,,TRUE
caes,,,,,TRUE
battery_2,,,,,TRUE
battery_4,,,,,TRUE
battery_6,,,,,TRUE
battery_8,,,,,TRUE
battery_10,,,,,TRUE
battery,,,,,TRUE
storage-h2,,,,,TRUE
Canada,,,,,
Curtailment,,,,,
pvb,,,,,TRUE
pvb-storage,,,,,TRUE
curtailment,,,,,
