region,State,Country,BA,units,0
p1,WA,USA,NorthernGrid,MW,7682.9253
p10,CA,USA,CAISO,MW,24365.264
p100,VA,USA,PJM,MW,296.8421
p101,FL,USA,FRCC,MW,15666.315
p102,FL,USA,FRCC,MW,8561.053
p103,MI,USA,MISO,MW,13345.385
p104,MI,USA,PJM,MW,938.9474
p105,IN,USA,MISO,MW,7169.4736
p106,IN,USA,MISO,MW,2338.9473
p107,IN,USA,MISO,MW,4857.8945
p108,KY,USA,MISO,MW,1414.7368
p109,KY,USA,PJM,MW,6824.2104
p11,CA,USA,CAISO,MW,3284.2104
p110,KY,USA,PJM,MW,516.8421
p111,OH,USA,PJM,MW,7580.0
p112,OH,USA,PJM,MW,8182.1055
p113,OH,USA,PJM,MW,1766.3158
p114,OH,USA,PJM,MW,3230.5264
p115,PA,USA,PJM,MW,5198.9473
p116,WV,USA,PJM,MW,2886.3157
p117,WV,USA,PJM,MW,1227.3684
p118,VA,USA,PJM,MW,1636.8422
p119,PA,USA,PJM,MW,509.4737
p12,NV,USA,NorthernGrid,MW,1475.7894
p120,PA,USA,PJM,MW,325.26315
p121,MD,USA,PJM,MW,947.3684
p122,PA,USA,PJM,MW,13407.368
p123,MD,USA,PJM,MW,9529.474
p124,VA,USA,PJM,MW,81.052635
p125,DE,USA,PJM,MW,1457.8948
p126,NJ,USA,PJM,MW,10985.263
p127,NY,USA,NYISO,MW,16806.625
p128,NY,USA,NYISO,MW,2910.5264
p129,VT,USA,ISONE,MW,897.2173
p13,NV,USA,NorthernGrid,MW,4361.0527
p130,NH,USA,ISONE,MW,1612.6316
p131,MA,USA,ISONE,MW,8365.263
p132,CT,USA,ISONE,MW,4215.7896
p133,RI,USA,ISONE,MW,1138.9474
p134,ME,USA,ISONE,MW,1811.365
p14,ID,USA,NorthernGrid,MW,504.21054
p15,ID,USA,NorthernGrid,MW,2427.3684
p16,ID,USA,NorthernGrid,MW,1350.5264
p17,MT,USA,NorthernGrid,MW,886.3158
p18,MT,USA,NorthernGrid,MW,687.9365
p19,MT,USA,NorthernGrid,MW,15.789474
p2,WA,USA,NorthernGrid,MW,3701.0527
p20,MT,USA,NorthernGrid,MW,682.1053
p21,WY,USA,NorthernGrid,MW,1596.8422
p22,WY,USA,NorthernGrid,MW,25.263159
p23,WY,USA,WestConnect,MW,461.05264
p24,WY,USA,WestConnect,MW,1362.1052
p25,UT,USA,NorthernGrid,MW,5353.684
p26,UT,USA,NorthernGrid,MW,264.21054
p27,AZ,USA,WestConnect,MW,431.57895
p28,AZ,USA,WestConnect,MW,9628.421
p29,AZ,USA,WestConnect,MW,120.0
p3,WA,USA,NorthernGrid,MW,2159.445
p30,AZ,USA,WestConnect,MW,431.57895
p31,NM,USA,WestConnect,MW,2431.5789
p32,SD,USA,WestConnect,MW,241.05263
p33,CO,USA,WestConnect,MW,8261.053
p34,CO,USA,WestConnect,MW,3041.0527
p35,MT,USA,SPP,MW,407.3684
p36,ND,USA,SPP,MW,1443.606
p37,ND,USA,MISO,MW,713.3819
p38,SD,USA,SPP,MW,1446.3158
p39,NE,USA,SPP,MW,370.5263
p4,WA,USA,NorthernGrid,MW,1276.8422
p40,NE,USA,SPP,MW,1860.0
p41,NE,USA,SPP,MW,2168.4211
p42,MN,USA,MISO,MW,652.3293
p43,MN,USA,MISO,MW,9524.211
p44,MN,USA,MISO,MW,303.1579
p45,IA,USA,MISO,MW,1869.4736
p46,WI,USA,MISO,MW,1390.5264
p47,NM,USA,SPP,MW,1816.8422
p48,TX,USA,SPP,MW,2550.5264
p49,OK,USA,SPP,MW,61.05263
p5,OR,USA,NorthernGrid,MW,6133.684
p50,OK,USA,SPP,MW,5697.8945
p51,OK,USA,SPP,MW,3105.2632
p52,KS,USA,SPP,MW,352.6316
p53,KS,USA,SPP,MW,5260.0
p54,MO,USA,SPP,MW,4703.1577
p55,MO,USA,SPP,MW,2805.2632
p56,AR,USA,SPP,MW,1795.7894
p57,TX,USA,SPP,MW,1011.5789
p58,LA,USA,MISO,MW,11470.526
p59,TX,USA,WestConnect,MW,924.2105
p6,OR,USA,NorthernGrid,MW,851.5789
p60,TX,USA,ERCOT,MW,874.7368
p61,TX,USA,ERCOT,MW,1061.0526
p62,TX,USA,ERCOT,MW,1546.3158
p63,TX,USA,ERCOT,MW,18262.105
p64,TX,USA,ERCOT,MW,4913.684
p65,TX,USA,ERCOT,MW,6861.0527
p66,TX,USA,MISO,MW,4028.4211
p67,TX,USA,ERCOT,MW,9645.263
p68,MN,USA,MISO,MW,726.3158
p69,IA,USA,MISO,MW,547.3684
p7,OR,USA,NorthernGrid,MW,146.3158
p70,IA,USA,MISO,MW,4143.1577
p71,MO,USA,MISO,MW,222.10527
p72,MO,USA,MISO,MW,2110.5264
p73,MO,USA,MISO,MW,426.3158
p74,MI,USA,MISO,MW,386.3158
p75,WI,USA,MISO,MW,1478.9474
p76,WI,USA,MISO,MW,1852.6316
p77,WI,USA,MISO,MW,512.6316
p78,WI,USA,MISO,MW,1173.6842
p79,WI,USA,MISO,MW,3167.3684
p8,CA,USA,NorthernGrid,MW,134.73685
p80,IL,USA,PJM,MW,15653.685
p81,IL,USA,MISO,MW,1793.6842
p82,IL,USA,MISO,MW,609.4737
p83,IL,USA,MISO,MW,410.5263
p84,MO,USA,MISO,MW,1296.8422
p85,AR,USA,MISO,MW,4984.2104
p86,LA,USA,MISO,MW,590.5263
p87,MS,USA,MISO,MW,4035.7896
p88,MS,USA,SERTP,MW,1555.7894
p89,AL,USA,SERTP,MW,5258.9473
p9,CA,USA,CAISO,MW,13383.158
p90,AL,USA,SERTP,MW,4958.9473
p91,FL,USA,SERTP,MW,842.1053
p92,TN,USA,SERTP,MW,12154.737
p93,KY,USA,SERTP,MW,1905.2632
p94,GA,USA,SERTP,MW,18818.947
p95,SC,USA,SERTP,MW,4001.0527
p96,SC,USA,SERTP,MW,6853.684
p97,NC,USA,SERTP,MW,8644.211
p98,NC,USA,SERTP,MW,9096.842
p99,VA,USA,PJM,MW,12317.895
