region,zone,superzone,Midwest_Agg,category,Usual,Usual_and_RTOZone,Country,Interconnection,CountryInterconnect,Summary
BANC_WI,CAISO,CAISO,BANC_WI,BANC_WI,California,California,USA,WI,USA-WI,All
CFE_WI,CAISO,CAISO,CFE_WI,CA_CISO_WI,California,California,USA,WI,USA-WI,All
CIPB_WI,CAISO,CAISO,CIPB_WI,CA_CISO_WI,California,California,USA,WI,USA-WI,All
CIPV_WI,CAISO,CAISO,CIPV_WI,CA_CISO_WI,California,California,USA,WI,USA-WI,All
CISC_WI,CAISO,CAISO,CISC_WI,CA_CISO_WI,California,California,USA,WI,USA-WI,All
CISD_WI,CAISO,CAISO,CISD_WI,CA_CISO_WI,California,California,USA,WI,USA-WI,All
IID_WI,,CAISO,IID_WI,CA_IID_WI,California,California,USA,WI,USA-WI,All
LDWP_WI,CAISO,CAISO,LDWP_WI,CA_LDWP_WI,California,California,USA,WI,USA-WI,All
TIDC_WI,CAISO,CAISO,TIDC_WI,BANC_WI,California,California,USA,WI,USA-WI,All
VEA_WI,CAISO,CAISO,VEA_WI,CA_CISO_WI,California,California,USA,WI,USA-WI,All
AESO_WI,,Columbia Grid,AESO_WI,CANADA_WI,AB,AB,Canada,WI,Canada-WI,All
AVA_WI,,Columbia Grid,AVA_WI,NW_Other_WI,NorthwestUS,NorthwestUS,USA,WI,USA-WI,All
BCHA_WI,,Columbia Grid,BCHA_WI,CANADA_WI,BC,BC,Canada,WI,Canada-WI,All
BPAT_WI,,Columbia Grid,BPAT_WI,NW_BPA_WI,NorthwestUS,NorthwestUS,USA,WI,USA-WI,All
CHPD_WI,,Columbia Grid,CHPD_WI,NW_BPA_WI,NorthwestUS,NorthwestUS,USA,WI,USA-WI,All
DOPD_WI,,Columbia Grid,DOPD_WI,NW_BPA_WI,NorthwestUS,NorthwestUS,USA,WI,USA-WI,All
GCPD_WI,,Columbia Grid,GCPD_WI,NW_BPA_WI,NorthwestUS,NorthwestUS,USA,WI,USA-WI,All
PGE_WI,,Columbia Grid,PGE_WI,NW_Other_WI,NorthwestUS,NorthwestUS,USA,WI,USA-WI,All
PSEI_WI,,Columbia Grid,PSEI_WI,NW_Other_WI,NorthwestUS,NorthwestUS,USA,WI,USA-WI,All
SCL_WI,,Columbia Grid,SCL_WI,NW_BPA_WI,NorthwestUS,NorthwestUS,USA,WI,USA-WI,All
TPWR_WI,,Columbia Grid,TPWR_WI,NW_BPA_WI,NorthwestUS,NorthwestUS,USA,WI,USA-WI,All
Houston_ERC,,ERCOT,Houston_ERC,ERCOT_ERC,ERCOT,ERCOT,USA,Texas,USA-Texas,All
Non-Ercot_ERC,,ERCOT,Non-Ercot_ERC,ERCOT_ERC,ERCOT,ERCOT,USA,Texas,USA-Texas,All
North_ERC,,ERCOT,North_ERC,ERCOT_ERC,ERCOT,ERCOT,USA,Texas,USA-Texas,All
Panhandle_ERC,,ERCOT,Panhandle_ERC,ERCOT_ERC,ERCOT,ERCOT,USA,Texas,USA-Texas,All
South_ERC,,ERCOT,South_ERC,ERCOT_ERC,ERCOT,ERCOT,USA,Texas,USA-Texas,All
West_ERC,,ERCOT,West_ERC,ERCOT_ERC,ERCOT,ERCOT,USA,Texas,USA-Texas,All
FLA_EI,,FRCC,FLA_EI,FRCC,FRCC,FRCC,USA,EI,USA-EI,All
CT_EI,,ISONE,CT_EI,ISONE,ISONE,ISONE,USA,EI,USA-EI,All
NE-ME_EI,,ISONE,NE-ME_EI,ISONE,ISONE,ISONE,USA,EI,USA-EI,All
NEMASSBOST_EI,,ISONE,NEMASSBOST_EI,ISONE,ISONE,ISONE,USA,EI,USA-EI,All
RI_EI,,ISONE,RI_EI,ISONE,ISONE,ISONE,USA,EI,USA-EI,All
SEMASS_EI,,ISONE,SEMASS_EI,ISONE,ISONE,ISONE,USA,EI,USA-EI,All
VT_EI,,ISONE,VT_EI,ISONE,ISONE,ISONE,USA,EI,USA-EI,All
WCMASS_EI,,ISONE,WCMASS_EI,ISONE,ISONE,ISONE,USA,EI,USA-EI,All
MH_EI,,Manitoba+Sask,MH_EI,MH,MH,MH,Canada,EI,Canada-EI,All
NH_EI,,Manitoba+Sask,NH_EI,ISONE,ISONE,ISONE,USA,EI,USA-EI,All
SPC_EI,,Manitoba+Sask,SPC_EI,MRO,SaskPower,SaskPower,Canada,EI,Canada-EI,All
ATC_EI,,MISO,MN+WI,MISO,MISO,MISO-C,USA,EI,USA-EI,All
BREC_EI,,MISO,BREC_EI,MISO,MISO,MISO-C,USA,EI,USA-EI,All
CONS_EI,,MISO,CONS_EI,MISO,MISO,MISO-C,USA,EI,USA-EI,All
DECO_EI,,MISO,DECO_EI,MISO,MISO,MISO-C,USA,EI,USA-EI,All
EES-ARK_EI,,MISO,EES-ARK_EI,MISO,MISO,MISO-S,USA,EI,USA-EI,All
EES-TX_EI,,MISO,EES-TX_EI,MISO,MISO,MISO-S,USA,EI,USA-EI,All
IA-E_EI,,MISO,IA-E_EI,MISO,MISO,MISO-N,USA,EI,USA-EI,All
IL-C_EI,,MISO,IL-C_EI,MISO,MISO,MISO-C,USA,EI,USA-EI,All
IN-C_EI,,MISO,IN-C_EI,MISO,MISO,MISO-C,USA,EI,USA-EI,All
IN-S_EI,,MISO,IN-S_EI,MISO,MISO,MISO-C,USA,EI,USA-EI,All
LA-Gulf_EI,,MISO,LA-Gulf_EI,MISO,MISO,MISO-S,USA,EI,USA-EI,All
LA-N_EI,,MISO,LA-N_EI,MISO,MISO,MISO-S,USA,EI,USA-EI,All
MDU_EI,,MISO,MDU_EI,MISO,MISO,MISO-N,USA,EI,USA-EI,All
MEC_EI,,MISO,MEC_EI,MISO,MISO,MISO-N,USA,EI,USA-EI,All
MISO-MO_EI,,MISO,MISO-MO_EI,MISO,MISO,MISO-C,USA,EI,USA-EI,All
MISO-MS_EI,,MISO,MISO-MS_EI,MISO,MISO,MISO-C,USA,EI,USA-EI,All
MN-C_EI,,MISO,MN+WI,MISO,MISO,MISO-N,USA,EI,USA-EI,All
MN-NE_EI,,MISO,MN+WI,MISO,MISO,MISO-N,USA,EI,USA-EI,All
MN-NW_EI,,MISO,MN+WI,MISO,MISO,MISO-N,USA,EI,USA-EI,All
MN-SE_EI,,MISO,MN+WI,MISO,MISO,MISO-N,USA,EI,USA-EI,All
NIPS_EI,,MISO,NIPS_EI,MISO,MISO,MISO-C,USA,EI,USA-EI,All
SIPC_EI,,MISO,SIPC_EI,MISO,MISO,MISO-C,USA,EI,USA-EI,All
UPPC_EI,,MISO,UPPC_EI,MISO,MISO,MISO-C,USA,EI,USA-EI,All
PSCO_WI,,Mountain West,PSCO_WI,RM_WI,RockiesUS,RockiesUS,USA,WI,USA-WI,All
WACM_WI,,Mountain West,WACM_WI,RM_WI,RockiesUS,RockiesUS,USA,WI,USA-WI,All
WALC_WI,,Mountain West,WALC_WI,SW_Other_WI,Southwest,Southwest,USA,WI,USA-WI,All
01-Central_MX,,NA,01-Central_MX,Mexico_MX,Mexico,Mexico,Mexico,SEN,Mexico-SEN,All
02-Oriental_MX,,NA,02-Oriental_MX,Mexico_MX,Mexico,Mexico,Mexico,SEN,Mexico-SEN,All
03-Occidental_MX,,NA,03-Occidental_MX,Mexico_MX,Mexico,Mexico,Mexico,SEN,Mexico-SEN,All
04-Noroeste_MX,,NA,04-Noroeste_MX,Mexico_MX,Mexico,Mexico,Mexico,SEN,Mexico-SEN,All
05-Norte_MX,,NA,05-Norte_MX,Mexico_MX,Mexico,Mexico,Mexico,SEN,Mexico-SEN,All
06-Noreste_MX,,NA,06-Noreste_MX,Mexico_MX,Mexico,Mexico,Mexico,SEN,Mexico-SEN,All
07-Peninsular_MX,,NA,07-Peninsular_MX,Mexico_MX,Mexico,Mexico,Mexico,SEN,Mexico-SEN,All
08-Baja California_MX,,NA,08-Baja California_MX,Mexico_MX,Mexico,Mexico,Mexico,SEN,Mexico-SEN,All
09-Baja California Sur_MX,,NA,09-Baja California Sur_MX,Mexico_MX,Mexico,Mexico,Mexico,SEN,Mexico-SEN,All
10-Mulege_MX,,NA,10-Mulege_MX,Mexico_MX,Mexico,Mexico,Mexico,SEN,Mexico-SEN,All
IPFE_WI,,Northern Tier,IPFE_WI,BS_IPCO_WI,RockiesUS,RockiesUS,USA,WI,USA-WI,All
IPMV_WI,,Northern Tier,IPMV_WI,BS_IPCO_WI,RockiesUS,RockiesUS,USA,WI,USA-WI,All
IPTV_WI,,Northern Tier,IPTV_WI,BS_IPCO_WI,RockiesUS,RockiesUS,USA,WI,USA-WI,All
NWMT_WI,,Northern Tier,NWMT_WI,NW_Other_WI,Montana,Montana,USA,WI,USA-WI,All
PACW_WI,,Northern Tier,PACW_WI,NW_Other_WI,NorthwestUS,NorthwestUS,USA,WI,USA-WI,All
PAID_WI,,Northern Tier,PAID_WI,BS_PACE_WI,RockiesUS,RockiesUS,USA,WI,USA-WI,All
PAUT_WI,,Northern Tier,PAUT_WI,BS_PACE_WI,RockiesUS,RockiesUS,USA,WI,USA-WI,All
PAWY_WI,,Northern Tier,PAWY_WI,BS_PACE_WI,RockiesUS,RockiesUS,USA,WI,USA-WI,All
TH_Malin_WI,,Northern Tier,TH_Malin_WI,TH_WI,NorthwestUS,NorthwestUS,USA,WI,USA-WI,All
WAUW_WI,,Northern Tier,WAUW_WI,NW_Other_WI,Montana,Montana,USA,WI,USA-WI,All
CAPITL_EI,,NYISO,CAPITL_EI,NYISO,NYISO,NYISO,USA,EI,USA-EI,All
CENTRL_EI,,NYISO,CENTRL_EI,NYISO,NYISO,NYISO,USA,EI,USA-EI,All
DUNWOD_EI,,NYISO,DUNWOD_EI,NYISO,NYISO,NYISO,USA,EI,USA-EI,All
GENESE_EI,,NYISO,GENESE_EI,NYISO,NYISO,NYISO,USA,EI,USA-EI,All
HUD VL_EI,,NYISO,HUD VL_EI,NYISO,NYISO,NYISO,USA,EI,USA-EI,All
LONGIL_EI,,NYISO,LONGIL_EI,NYISO,NYISO,NYISO,USA,EI,USA-EI,All
MHK VL_EI,,NYISO,MHK VL_EI,NYISO,NYISO,NYISO,USA,EI,USA-EI,All
MILLWD_EI,,NYISO,MILLWD_EI,NYISO,NYISO,NYISO,USA,EI,USA-EI,All
N.Y.C._EI,,NYISO,N.Y.C._EI,NYISO,NYISO,NYISO,USA,EI,USA-EI,All
NORTH_EI,,NYISO,NORTH_EI,NYISO,NYISO,NYISO,USA,EI,USA-EI,All
WEST_EI,,NYISO,WEST_EI,NYISO,NYISO,NYISO,USA,EI,USA-EI,All
ONTE_EI,,Ontario,ONTE_EI,IESO,IESO,IESO,Canada,EI,Canada-EI,All
ONTW_EI,,Ontario,ONTW_EI,IESO,IESO,IESO,Canada,EI,Canada-EI,All
DOM_EI,,PJM,DOM_EI,PJM,PJM,PJM-DOM,USA,EI,USA-EI,All
EMAAC_EI,,PJM,EMAAC_EI,PJM,PJM,PJM-E,USA,EI,USA-EI,All
PJM-C_EI,,PJM,PJM-C_EI,PJM,PJM,PJM-C,USA,EI,USA-EI,All
PJM-E_EI,,PJM,PJM-E_EI,PJM,PJM,PJM-E,USA,EI,USA-EI,All
PJM-W_EI,,PJM,PJM-W_EI,PJM,PJM,PJM-W,USA,EI,USA-EI,All
RMAAC_EI,,PJM,RMAAC_EI,PJM,PJM,PJM-E,USA,EI,USA-EI,All
NEW_BRUNSWICK_EI,,Quebec+NB,NEW_BRUNSWICK_EI,NBSO,Maritimes,Maritimes,Canada,EI,Canada-EI,All
NewFoundland_EI,,Quebec+NB,NewFoundland_EI,HQ,HQ,HQ,Canada,Quebec,Canada-Quebec,All
Quebec_EI,,Quebec+NB,Quebec_EI,HQ,HQ,HQ,Canada,Quebec,Canada-Quebec,All
AEC_EI,,SERC,AEC_EI,SERC,SERC,SERC,USA,EI,USA-EI,All
CPLE_EI,,SERC,CPLE_EI,SERC,SERC,SERC,USA,EI,USA-EI,All
CPLW_EI,,SERC,CPLW_EI,SERC,SERC,SERC,USA,EI,USA-EI,All
DUK_EI,,SERC,DUK_EI,SERC,SERC,SERC,USA,EI,USA-EI,All
SC_EI,,SERC,SC_EI,SERC,SERC,SERC,USA,EI,USA-EI,All
SCEG_EI,,SERC,SCEG_EI,SERC,SERC,SERC,USA,EI,USA-EI,All
SOCO_EI,,SERC,SOCO_EI,SERC,SERC,SERC,USA,EI,USA-EI,All
BEPC_EI,,SPP,BEPC_EI,SPP,SPP,SPP,USA,EI,USA-EI,All
BLACKWATER-ACDC_EI,,SPP,BLACKWATER-ACDC_EI,BLACKWATER-ACDC,SPP,SPP,USA,EI,USA-EI,All
CBPC-NIPCO_EI,,SPP,CBPC-NIPCO_EI,SPP,SPP,SPP,USA,EI,USA-EI,All
CSWS+_EI,,SPP,CSWS+_EI,SPP,SPP,SPP,USA,EI,USA-EI,All
EDE_EI,,SPP,EDE_EI,SPP,SPP,SPP,USA,EI,USA-EI,All
KCPL+_EI,,SPP,KCPL+_EI,SPP,SPP,SPP,USA,EI,USA-EI,All
LAMAR-ACDC_EI,,SPP,LAMAR-ACDC_EI,LAMAR-ACDC,SPP,SPP,USA,EI,USA-EI,All
LES_EI,,SPP,LES_EI,SPP,SPP,SPP,USA,EI,USA-EI,All
MC-ACDC_EI,,SPP,MC-ACDC_EI,SPP,SPP,SPP,USA,EI,USA-EI,All
NPPD_EI,,SPP,NPPD_EI,SPP,SPP,SPP,USA,EI,USA-EI,All
NWPS_EI,,SPP,NWPS_EI,SPP,SPP,SPP,USA,EI,USA-EI,All
OKGE_EI,,SPP,OKGE_EI,SPP,SPP,SPP,USA,EI,USA-EI,All
OPPD_EI,,SPP,OPPD_EI,SPP,SPP,SPP,USA,EI,USA-EI,All
RC-ACDC_EI,,SPP,RC-ACDC_EI,SPP,SPP,SPP,USA,EI,USA-EI,All
SECI_EI,,SPP,SECI_EI,SPP,SPP,SPP,USA,EI,USA-EI,All
SIDNEY-ACDC_EI,,SPP,SIDNEY-ACDC_EI,SPP,SPP,SPP,USA,EI,USA-EI,All
