Ordered_Gen,vre,re,pv,thermal,storage
Nuclear,,,,TRUE,
Coal,,,,TRUE,
Gas-CC,,,,TRUE,
Gas-CC CCS,,,,TRUE,
Gas-CC CCS-flex,,,,TRUE,
Gas-CT,,,,TRUE,
Gas,,,,TRUE,
Landfill gas,,,,TRUE,
Gas-Steam,,,,TRUE,
Dual Fuel,,,,TRUE,
DualFuel,,,,TRUE,
Oil-Gas-Steam,,,,TRUE,
Oil/Gas,,,,TRUE,
Oil,,,,TRUE,
Hydro,,TRUE,,,
MidC Hydro,,TRUE,,,
Ocean,,TRUE,,,
Geothermal,,TRUE,,,
Biomass,,TRUE,,,
Biopower,,TRUE,,,
Other,,,,,
VRE,TRUE,TRUE,,,
Onshore Wind,TRUE,TRUE,,,
Offshore Wind,TRUE,TRUE,,,
OffshoreWind,TRUE,TRUE,,,
Solar,TRUE,TRUE,TRUE,,
PV,TRUE,TRUE,TRUE,,
dPV,TRUE,TRUE,TRUE,,
CSP,,TRUE,,,
Tidal,,TRUE,,,
PV-Battery,,TRUE,TRUE,,TRUE
Battery Storage,,,,,TRUE
Battery,,,,,TRUE
Pumped Hydro,,,,,TRUE
Compressed Air Storage,,,,,TRUE
Storage,,,,,TRUE
OSW-Battery,,,,,TRUE
Storage discharge,,,,,TRUE
Battery discharge,,,,,TRUE
Net Imports,,,,,
Canadian Imports,,,,,
Curtailment,,,,,
curtailment,,,,,
Demand,,,,,
Demand + Storage Charging,,,,,
