region,State,country,Country,BA,Interconnection real,Interconnection
p52,KS,USA,USA,SPP,Eastern Interconnection,Western Interconnection
p51,OK,USA,USA,SPP,Eastern Interconnection,Western Interconnection
p50,OK,USA,USA,SPP,Eastern Interconnection,Western Interconnection
p5,OR,USA,USA,NorthernGrid,Western Interconnection,Western Interconnection
p49,OK,USA,USA,SPP,Eastern Interconnection,Western Interconnection
p48,TX,USA,USA,SPP,Eastern Interconnection,Western Interconnection
p47,NM,USA,USA,SPP,Western Interconnection,Western Interconnection
p46,WI,USA,USA,MISO,Eastern Interconnection,Western Interconnection
p45,IA,USA,USA,MISO,Eastern Interconnection,Western Interconnection
p44,MN,USA,USA,MISO,Eastern Interconnection,Western Interconnection
p43,MN,USA,USA,MISO,Eastern Interconnection,Western Interconnection
p42,MN,USA,USA,MISO,Eastern Interconnection,Western Interconnection
p41,NE,USA,USA,SPP,Eastern Interconnection,Western Interconnection
p40,NE,USA,USA,SPP,Eastern Interconnection,Western Interconnection
p4,WA,USA,USA,NorthernGrid,Western Interconnection,Western Interconnection
p39,NE,USA,USA,SPP,Eastern Interconnection,Western Interconnection
p38,SD,USA,USA,SPP,Eastern Interconnection,Western Interconnection
p37,ND,USA,USA,MISO,Eastern Interconnection,Western Interconnection
p36,ND,USA,USA,SPP,Eastern Interconnection,Western Interconnection
p35,MT,USA,USA,SPP,Western Interconnection,Western Interconnection
p34,CO,USA,USA,WestConnect,Western Interconnection,Western Interconnection
p33,CO,USA,USA,WestConnect,Western Interconnection,Western Interconnection
p32,SD,USA,USA,WestConnect,Eastern Interconnection,Western Interconnection
p31,NM,USA,USA,WestConnect,Western Interconnection,Western Interconnection
p30,AZ,USA,USA,WestConnect,Western Interconnection,Western Interconnection
p3,WA,USA,USA,NorthernGrid,Western Interconnection,Western Interconnection
p29,AZ,USA,USA,WestConnect,Western Interconnection,Western Interconnection
p28,AZ,USA,USA,WestConnect,Western Interconnection,Western Interconnection
p27,AZ,USA,USA,WestConnect,Western Interconnection,Western Interconnection
p26,UT,USA,USA,NorthernGrid,Western Interconnection,Western Interconnection
p25,UT,USA,USA,NorthernGrid,Western Interconnection,Western Interconnection
p24,WY,USA,USA,WestConnect,Western Interconnection,Western Interconnection
p23,WY,USA,USA,WestConnect,Western Interconnection,Western Interconnection
p22,WY,USA,USA,NorthernGrid,Western Interconnection,Western Interconnection
p21,WY,USA,USA,NorthernGrid,Western Interconnection,Western Interconnection
p20,MT,USA,USA,NorthernGrid,Western Interconnection,Western Interconnection
p2,WA,USA,USA,NorthernGrid,Western Interconnection,Western Interconnection
p19,MT,USA,USA,NorthernGrid,Western Interconnection,Western Interconnection
p18,MT,USA,USA,NorthernGrid,Western Interconnection,Western Interconnection
p17,MT,USA,USA,NorthernGrid,Western Interconnection,Western Interconnection
p16,ID,USA,USA,NorthernGrid,Western Interconnection,Western Interconnection
p15,ID,USA,USA,NorthernGrid,Western Interconnection,Western Interconnection
p14,ID,USA,USA,NorthernGrid,Western Interconnection,Western Interconnection
p134,ME,USA,USA,ISONE,Eastern Interconnection,Western Interconnection
p133,RI,USA,USA,ISONE,Eastern Interconnection,Western Interconnection
p132,CT,USA,USA,ISONE,Eastern Interconnection,Western Interconnection
p131,MA,USA,USA,ISONE,Eastern Interconnection,Western Interconnection
p130,NH,USA,USA,ISONE,Eastern Interconnection,Western Interconnection
p13,NV,USA,USA,NorthernGrid,Western Interconnection,Western Interconnection
p129,VT,USA,USA,ISONE,Eastern Interconnection,Western Interconnection
p128,NY,USA,USA,NYISO,Eastern Interconnection,Western Interconnection
p127,NY,USA,USA,NYISO,Eastern Interconnection,Western Interconnection
p126,NJ,USA,USA,PJM,Eastern Interconnection,Western Interconnection
p125,DE,USA,USA,PJM,Eastern Interconnection,Western Interconnection
p124,VA,USA,USA,PJM,Eastern Interconnection,Western Interconnection
p123,MD,USA,USA,PJM,Eastern Interconnection,Western Interconnection
p122,PA,USA,USA,PJM,Eastern Interconnection,Western Interconnection
p121,MD,USA,USA,PJM,Eastern Interconnection,Western Interconnection
p120,PA,USA,USA,PJM,Eastern Interconnection,Western Interconnection
p12,NV,USA,USA,NorthernGrid,Western Interconnection,Western Interconnection
p119,PA,USA,USA,PJM,Eastern Interconnection,Western Interconnection
p118,VA,USA,USA,PJM,Eastern Interconnection,Western Interconnection
p117,WV,USA,USA,PJM,Eastern Interconnection,Western Interconnection
p116,WV,USA,USA,PJM,Eastern Interconnection,Western Interconnection
p115,PA,USA,USA,PJM,Eastern Interconnection,Western Interconnection
p114,OH,USA,USA,PJM,Eastern Interconnection,Western Interconnection
p113,OH,USA,USA,PJM,Eastern Interconnection,Western Interconnection
p112,OH,USA,USA,PJM,Eastern Interconnection,Western Interconnection
p111,OH,USA,USA,PJM,Eastern Interconnection,Western Interconnection
p110,KY,USA,USA,PJM,Eastern Interconnection,Western Interconnection
p11,CA,USA,USA,CAISO,Western Interconnection,Western Interconnection
p109,KY,USA,USA,PJM,Eastern Interconnection,Western Interconnection
p108,KY,USA,USA,MISO,Eastern Interconnection,Western Interconnection
p107,IN,USA,USA,MISO,Eastern Interconnection,Western Interconnection
p106,IN,USA,USA,MISO,Eastern Interconnection,Western Interconnection
p105,IN,USA,USA,MISO,Eastern Interconnection,Western Interconnection
p104,MI,USA,USA,PJM,Eastern Interconnection,Western Interconnection
p103,MI,USA,USA,MISO,Eastern Interconnection,Western Interconnection
p102,FL,USA,USA,FRCC,Eastern Interconnection,Western Interconnection
p101,FL,USA,USA,FRCC,Eastern Interconnection,Western Interconnection
p100,VA,USA,USA,PJM,Eastern Interconnection,Western Interconnection
p10,CA,USA,USA,CAISO,Western Interconnection,Western Interconnection
p1,WA,USA,USA,NorthernGrid,Western Interconnection,Western Interconnection
p09,CA,USA,USA,CAISO,Western Interconnection,Western Interconnection
p08,CA,USA,USA,NorthernGrid,Western Interconnection,Western Interconnection
p07,OR,USA,USA,NorthernGrid,Western Interconnection,Western Interconnection
p06,OR,USA,USA,NorthernGrid,Western Interconnection,Western Interconnection
p05,OR,USA,USA,NorthernGrid,Western Interconnection,Western Interconnection
p04,WA,USA,USA,NorthernGrid,Western Interconnection,Western Interconnection
p03,WA,USA,USA,NorthernGrid,Western Interconnection,Western Interconnection
p02,WA,USA,USA,NorthernGrid,Western Interconnection,Western Interconnection
p01,WA,USA,USA,NorthernGrid,Western Interconnection,Western Interconnection
,,,,,,
,,,,,,
