region,State,country,Country,BA,Interconnection real,Interconnection
p99,VA,USA,USA,PJM,Eastern Interconnection,Western Interconnection
p98,NC,USA,USA,SERTP,Eastern Interconnection,Western Interconnection
p97,NC,USA,USA,SERTP,Eastern Interconnection,Western Interconnection
p96,SC,USA,USA,SERTP,Eastern Interconnection,Western Interconnection
p95,SC,USA,USA,SERTP,Eastern Interconnection,Western Interconnection
p94,GA,USA,USA,SERTP,Eastern Interconnection,Western Interconnection
p93,KY,USA,USA,SERTP,Eastern Interconnection,Western Interconnection
p92,TN,USA,USA,SERTP,Eastern Interconnection,Western Interconnection
p91,FL,USA,USA,SERTP,Eastern Interconnection,Western Interconnection
p90,AL,USA,USA,SERTP,Eastern Interconnection,Western Interconnection
p9,CA,USA,USA,CAISO,Western Interconnection,Western Interconnection
p89,AL,USA,USA,SERTP,Eastern Interconnection,Western Interconnection
p88,MS,USA,USA,SERTP,Eastern Interconnection,Western Interconnection
p87,MS,USA,USA,MISO,Eastern Interconnection,Western Interconnection
p86,LA,USA,USA,MISO,Eastern Interconnection,Western Interconnection
p85,AR,USA,USA,MISO,Eastern Interconnection,Western Interconnection
p84,MO,USA,USA,MISO,Eastern Interconnection,Western Interconnection
p83,IL,USA,USA,MISO,Eastern Interconnection,Western Interconnection
p82,IL,USA,USA,MISO,Eastern Interconnection,Western Interconnection
p81,IL,USA,USA,MISO,Eastern Interconnection,Western Interconnection
p80,IL,USA,USA,PJM,Eastern Interconnection,Western Interconnection
p8,CA,USA,USA,NorthernGrid,Western Interconnection,Western Interconnection
p79,WI,USA,USA,MISO,Eastern Interconnection,Western Interconnection
p78,WI,USA,USA,MISO,Eastern Interconnection,Western Interconnection
p77,WI,USA,USA,MISO,Eastern Interconnection,Western Interconnection
p76,WI,USA,USA,MISO,Eastern Interconnection,Western Interconnection
p75,WI,USA,USA,MISO,Eastern Interconnection,Western Interconnection
p74,MI,USA,USA,MISO,Eastern Interconnection,Western Interconnection
p73,MO,USA,USA,MISO,Eastern Interconnection,Western Interconnection
p72,MO,USA,USA,MISO,Eastern Interconnection,Western Interconnection
p71,MO,USA,USA,MISO,Eastern Interconnection,Western Interconnection
p70,IA,USA,USA,MISO,Eastern Interconnection,Western Interconnection
p7,OR,USA,USA,NorthernGrid,Western Interconnection,Western Interconnection
p69,IA,USA,USA,MISO,Eastern Interconnection,Western Interconnection
p68,MN,USA,USA,MISO,Eastern Interconnection,Western Interconnection
p67,TX,USA,USA,ERCOT,Texas Interconnection,Western Interconnection
p66,TX,USA,USA,MISO,Eastern Interconnection,Western Interconnection
p65,TX,USA,USA,ERCOT,Texas Interconnection,Western Interconnection
p64,TX,USA,USA,ERCOT,Texas Interconnection,Western Interconnection
p63,TX,USA,USA,ERCOT,Texas Interconnection,Western Interconnection
p62,TX,USA,USA,ERCOT,Texas Interconnection,Western Interconnection
p61,TX,USA,USA,ERCOT,Texas Interconnection,Western Interconnection
p60,TX,USA,USA,ERCOT,Texas Interconnection,Western Interconnection
p6,OR,USA,USA,NorthernGrid,Western Interconnection,Western Interconnection
p59,TX,USA,USA,WestConnect,Texas Interconnection,Western Interconnection
p58,LA,USA,USA,MISO,Eastern Interconnection,Western Interconnection
p57,TX,USA,USA,SPP,Eastern Interconnection,Western Interconnection
p56,AR,USA,USA,SPP,Eastern Interconnection,Western Interconnection
p55,MO,USA,USA,SPP,Eastern Interconnection,Western Interconnection
p54,MO,USA,USA,SPP,Eastern Interconnection,Western Interconnection
p53,KS,USA,USA,SPP,Eastern Interconnection,Western Interconnection
