region,BA,Country,Interconnection,Country Interconnect
AEC_EI,SERC,USA,EI,USA-EI
AECIZ_EI,SERC,USA,EI,USA-EI
AESO_WI,AB,Canada,WI,Canada-WI
ATC_EI,MISO,USA,EI,USA-EI
AVA_WI,NorthwestUS,USA,WI,USA-WI
AZPS_WI,Southwest,USA,WI,USA-WI
BANC_WI,California,USA,WI,USA-WI
BCHA_WI,BC,Canada,WI,Canada-WI
BEPC_EI,SPP,USA,EI,USA-EI
BLACKWATER-ACDC_EI,SPP,USA,EI,USA-EI
BPAT_WI,NorthwestUS,USA,WI,USA-WI
BREC_EI,MISO,USA,EI,USA-EI
CAPITL_EI,NYISO,USA,EI,USA-EI
CBPC-NIPCO_EI,SPP,USA,EI,USA-EI
CENTRL_EI,NYISO,USA,EI,USA-EI
,,,,
