,Fuel Cost (Million $),VO&M Cost (Million $),Start & Shutdown Cost (Million $),Emissions Cost (Million $)
Base DA,32.890866,0.0116864248046875,4.644786,14.269929
High VG DA,15.041348,0.0433854765625,5.558316,6.8833575
