region,superzone,Midwest_Agg,category,Usual,Usual_and_RTOZone,Country,Interconnection,CountryInterconnect,Summary
Andhra_Pradesh,SR,NA,NA,NA,NA,India,India,India,All
Arunachal_Pradesh,NER,NA,NA,NA,NA,India,India,India,All
Assam,NER,NA,NA,NA,NA,India,India,India,All
Bihar,ER,NA,NA,NA,NA,India,India,India,All
Chandigarh,NR,NA,NA,NA,NA,India,India,India,All
Chhattisgarh,WR,NA,NA,NA,NA,India,India,India,All
Dadra_Nagar_Haveli,WR,NA,NA,NA,NA,India,India,India,All
Daman_Diu,WR,NA,NA,NA,NA,India,India,India,All
Delhi,NR,NA,NA,NA,NA,India,India,India,All
Goa,WR,NA,NA,NA,NA,India,India,India,All
Gujarat,WR,NA,NA,NA,NA,India,India,India,All
Haryana,NR,NA,NA,NA,NA,India,India,India,All
Himachal_Pradesh,NR,NA,NA,NA,NA,India,India,India,All
Jammu_Kashmir,NR,NA,NA,NA,NA,India,India,India,All
Jharkhand,ER,NA,NA,NA,NA,India,India,India,All
Karnataka,SR,NA,NA,NA,NA,India,India,India,All
Kerala,SR,NA,NA,NA,NA,India,India,India,All
Madhya_Pradesh,WR,NA,NA,NA,NA,India,India,India,All
Maharashtra,WR,NA,NA,NA,NA,India,India,India,All
Manipur,NER,NA,NA,NA,NA,India,India,India,All
Meghalaya,NER,NA,NA,NA,NA,India,India,India,All
Mizoram,NER,NA,NA,NA,NA,India,India,India,All
Nagaland,NER,NA,NA,NA,NA,India,India,India,All
Odisha,ER,NA,NA,NA,NA,India,India,India,All
Puducherry,SR,NA,NA,NA,NA,India,India,India,All
Punjab,NR,NA,NA,NA,NA,India,India,India,All
Rajasthan,NR,NA,NA,NA,NA,India,India,India,All
Sikkim,ER,NA,NA,NA,NA,India,India,India,All
Tamil_Nadu,SR,NA,NA,NA,NA,India,India,India,All
Telangana,SR,NA,NA,NA,NA,India,India,India,All
Tripura,NER,NA,NA,NA,NA,India,India,India,All
Uttar_Pradesh,NR,NA,NA,NA,NA,India,India,India,All
Uttarakhand,NR,NA,NA,NA,NA,India,India,India,All
West_Bengal,ER,NA,NA,NA,NA,India,India,India,All
