region,State,country,Country
p89,AL,USA,USA
p90,AL,USA,USA
p56,AR,USA,USA
p85,AR,USA,USA
p27,AZ,USA,USA
p28,AZ,USA,USA
p29,AZ,USA,USA
p30,AZ,USA,USA
p10,CA,USA,USA
p11,CA,USA,USA
p8,CA,USA,USA
p9,CA,USA,USA
p33,CO,USA,USA
p34,CO,USA,USA
p132,CT,USA,USA
p125,DE,USA,USA
p101,FL,USA,USA
p102,FL,USA,USA
p91,FL,USA,USA
p94,GA,USA,USA
p45,IA,USA,USA
p69,IA,USA,USA
p70,IA,USA,USA
p14,ID,USA,USA
p15,ID,USA,USA
p16,ID,USA,USA
p80,IL,USA,USA
p81,IL,USA,USA
p82,IL,USA,USA
p83,IL,USA,USA
p105,IN,USA,USA
p106,IN,USA,USA
p107,IN,USA,USA
p52,KS,USA,USA
p53,KS,USA,USA
p108,KY,USA,USA
p109,KY,USA,USA
p110,KY,USA,USA
p93,KY,USA,USA
p58,LA,USA,USA
p86,LA,USA,USA
p131,MA,USA,USA
p121,MD,USA,USA
p123,MD,USA,USA
p134,ME,USA,USA
p103,MI,USA,USA
p104,MI,USA,USA
p74,MI,USA,USA
p42,MN,USA,USA
p43,MN,USA,USA
p44,MN,USA,USA
p68,MN,USA,USA
p54,MO,USA,USA
p55,MO,USA,USA
p71,MO,USA,USA
p72,MO,USA,USA
p73,MO,USA,USA
p84,MO,USA,USA
p87,MS,USA,USA
p88,MS,USA,USA
p17,MT,USA,USA
p18,MT,USA,USA
p19,MT,USA,USA
p20,MT,USA,USA
p35,MT,USA,USA
p97,NC,USA,USA
p98,NC,USA,USA
p36,ND,USA,USA
p37,ND,USA,USA
p39,NE,USA,USA
p40,NE,USA,USA
p41,NE,USA,USA
p130,NH,USA,USA
p126,NJ,USA,USA
p31,NM,USA,USA
p47,NM,USA,USA
p12,NV,USA,USA
p13,NV,USA,USA
p127,NY,USA,USA
p128,NY,USA,USA
p111,OH,USA,USA
p112,OH,USA,USA
p113,OH,USA,USA
p114,OH,USA,USA
p49,OK,USA,USA
p50,OK,USA,USA
p51,OK,USA,USA
p5,OR,USA,USA
p6,OR,USA,USA
p7,OR,USA,USA
p115,PA,USA,USA
p119,PA,USA,USA
p120,PA,USA,USA
p122,PA,USA,USA
p133,RI,USA,USA
p95,SC,USA,USA
p96,SC,USA,USA
p32,SD,USA,USA
p38,SD,USA,USA
p92,TN,USA,USA
p48,TX,USA,USA
p57,TX,USA,USA
p59,TX,USA,USA
p60,TX,USA,USA
p61,TX,USA,USA
p62,TX,USA,USA
p63,TX,USA,USA
p64,TX,USA,USA
p65,TX,USA,USA
p66,TX,USA,USA
p67,TX,USA,USA
p25,UT,USA,USA
p26,UT,USA,USA
p100,VA,USA,USA
p118,VA,USA,USA
p124,VA,USA,USA
p99,VA,USA,USA
p129,VT,USA,USA
p1,WA,USA,USA
p2,WA,USA,USA
p3,WA,USA,USA
p4,WA,USA,USA
p46,WI,USA,USA
p75,WI,USA,USA
p76,WI,USA,USA
p77,WI,USA,USA
p78,WI,USA,USA
p79,WI,USA,USA
p116,WV,USA,USA
p117,WV,USA,USA
p21,WY,USA,USA
p22,WY,USA,USA
p23,WY,USA,USA
p24,WY,USA,USA
