Input,Input_type,Importance,User_defined_value
PLEXOS_Solutions_folder,folder,required,C://Users/llavin/.ssh/NARISTxAnalysis/PLEXOS_Solutions_folder
Marmot_Solutions_folder,folder,optional,C://Users/llavin/.ssh/NARISTxAnalysis/Marmot_plots
Scenario_process_list,List,required,c_RT_TechBreak2050_old
VoLL,int,required,10000
Region_Mapping.csv_name,string,optional(default),Regions_Zones_Mapping_Full.csv
gen_names.csv_name,string,required(default),gen_names.csv
emit_names.csv_name,string,required(default),emit_names.csv
Scenarios,string or List,required,c_RT_TechBreak2050_old
Scenario_Diff_plot,List [Max 2],optional,
AGG_BY,string,required,zone
zone_region_sublist,List,optional,"CAISO_WI, FRCC_EI, PJM_EI"
Facet_ylabels,List,optional,
Facet_xlabels,List,optional,
Tick_labels,List,optional,
