,1_Base DA ($/MWh),1_High VG DA ($/MWh),2_Base DA ($/MWh),2_High VG DA ($/MWh),3_Base DA ($/MWh),3_High VG DA ($/MWh)
0,3947.9019,3947.0315,3947.9019,3947.0315,3947.9019,3947.0315
1,3947.9019,3943.914,3947.9019,3941.799,3947.9019,3945.37
2,3947.4666,3940.795,3947.4666,3940.795,3947.4666,3940.795
3,3947.4666,131.9149,3947.4666,125.5615,3947.4666,136.28845
4,3947.2747,129.4995,3947.2747,123.26242,3947.2747,133.79295
5,3946.161,125.76876,3946.161,119.711365,3946.161,129.93854
6,3946.161,117.422424,3946.161,111.76701,3946.161,121.31548
7,3945.7256,107.16885,3945.7256,107.16885,3945.7256,107.16885
8,58.00269,58.05449,129.19006,56.56323,309.88467,80.32715
9,55.094536,56.56323,89.43837,55.146957,236.65195,59.38576
10,55.094536,55.146957,89.43837,55.146957,236.65195,59.160194
11,55.094536,55.146957,55.094536,54.880642,60.180393,56.56323
12,55.094536,54.880642,55.094536,54.880642,58.456867,56.405712
13,55.094536,54.880642,55.094536,54.880642,57.42187,55.57694
14,52.943577,54.880642,55.094536,53.788185,55.612263,55.318367
15,52.943577,53.73069,55.094536,53.73069,55.34727,55.146957
16,52.868443,53.53847,52.943577,53.306484,55.094536,55.146957
17,52.868443,53.306484,52.943577,52.604053,55.094536,55.131184
18,52.868443,53.017796,52.868443,52.406136,55.094536,54.95937
19,52.231697,52.406136,52.868443,52.406136,55.094536,54.880642
20,52.231697,52.406136,52.868443,52.406136,55.094536,54.880642
21,52.14735,52.406136,52.231697,51.22475,54.168125,54.880642
22,52.14735,51.525158,52.231697,50.898155,53.726246,54.063713
23,51.665222,50.898155,52.14735,50.898155,53.389294,53.73069
24,51.665222,50.898155,52.14735,50.64635,52.943577,53.306484
25,51.665222,50.497734,51.665222,50.34381,52.943577,52.99535
26,51.665222,50.34381,51.665222,49.912758,52.868443,52.98684
27,51.665222,50.005054,51.665222,49.481884,52.868443,52.406136
28,51.665222,49.481884,51.665222,49.481884,52.868443,52.406136
29,51.665222,49.481884,51.665222,49.481884,52.64725,52.406136
30,51.505783,49.481884,51.665222,49.481884,52.646893,52.17195
31,51.505783,49.481884,51.665222,49.46287,52.231697,51.451115
32,51.505783,49.46287,51.505783,49.28326,52.231697,50.898155
33,51.505783,49.047447,51.505783,49.0224,52.14735,50.898155
34,51.505783,49.0224,51.505783,49.0224,52.14735,50.67358
35,51.505783,49.0224,51.505783,49.0224,51.665222,50.34381
36,51.505783,49.0224,51.505783,49.0224,51.665222,49.63213
37,51.505783,49.0224,51.505783,49.0224,51.665222,49.63213
38,51.22475,49.0224,51.505783,48.33711,51.665222,49.511295
39,51.22475,48.821144,51.505783,48.065617,51.665222,49.481884
40,51.22475,48.33711,51.22475,48.065617,51.665222,49.481884
41,51.03447,48.100048,51.22475,47.904377,51.665222,49.481884
42,51.03447,48.065617,51.22475,47.904377,51.553185,49.481884
43,50.784283,48.039417,51.03447,47.901875,51.505783,49.46287
44,50.784283,48.039417,51.03447,47.733364,51.505783,49.25177
45,50.784283,47.904377,50.784283,47.46664,51.505783,49.210697
46,50.784283,47.901875,50.784283,47.46664,51.505783,49.0224
47,50.784283,47.671265,50.784283,47.46664,51.505783,49.0224
48,50.784283,47.46664,50.784283,47.46664,51.505783,49.0224
49,50.60543,47.46664,50.784283,47.46664,51.505783,49.0224
50,50.60543,47.46664,50.784283,47.46664,51.505783,49.0224
51,50.60543,47.46664,50.627094,47.46664,51.22475,48.800167
52,50.60543,47.46664,50.60543,47.099354,51.22475,48.513496
