,Nuclear (GW),Coal (GW),Gas-CC (GW),Gas-CT (GW),Oil-Gas-Steam (GW),Hydro (GW),Wind (GW),PV (GW)
Base DA,0.4,1.119,0.71,0.385,0.104,0.3,0.7135,0.1925
High VG DA,0.4,1.119,0.71,0.385,0.104,0.3,0.7135,0.4981
