,Coal (GW),Gas-CC (GW),Gas-CT (GW),Oil-Gas-Steam (GW),Hydro (GW),Wind (GW),PV (GW),Battery (GW)
Base DA,0.155,1.775,0.605,0.14,0.2,0.1483,0.9808,0.0394996
High VG DA,0.155,1.775,0.605,0.14,0.2,1.7944,2.0795,0.0394996
