,"Total Load (Demand + 
 Storage Charging) (TWh)",Total Demand (TWh),Unserved Energy (TWh),Nuclear (TWh),Coal (TWh),Gas-CC (TWh),Gas-CT (TWh),Oil-Gas-Steam (TWh),Hydro (TWh),Wind (TWh),PV (TWh),Curtailment (TWh)
Base DA,1.75341875,1.75341875,0.0,0.623992,1.230648625,0.06288951171875,6.6e-05,0.001224,0.101316875,0.62906425,0.0716984296875,0.0006394535522460938
High VG DA,1.75341875,1.75341875,0.0,0.536990875,0.83353675,0.0711083828125,0.00296938818359375,0.002,0.101316875,0.6295050625,0.175364234375,0.0101110634765625
