,"Total Load (Demand + 
 Storage Charging) (TWh)",Total Demand (TWh),Unserved Energy (TWh),Coal (TWh),Gas-CC (TWh),Gas-CT (TWh),Oil-Gas-Steam (TWh),Hydro (TWh),Wind (TWh),PV (TWh),Battery (TWh),Curtailment (TWh)
Base DA,2.274322,2.27025675,0.0,0.203849171875,0.6727621875,0.000935,0.001064,0.14810446875,0.105969046875,0.3032975,0.003457763671875,4e-05
High VG DA,2.28542275,2.27025675,0.0,0.120229046875,0.257774046875,0.0099255107421875,0.001951862060546875,0.14810446875,1.157209375,0.648415875,0.0128122138671875,0.29190728125
