region,State,Country,InCar,InDuke
p89,AL,USA,Other,Other
p90,AL,USA,Other,Other
p56,AR,USA,Other,Other
p85,AR,USA,Other,Other
p27,AZ,USA,Other,Other
p28,AZ,USA,Other,Other
p29,AZ,USA,Other,Other
p30,AZ,USA,Other,Other
p10,CA,USA,Other,Other
p11,CA,USA,Other,Other
p8,CA,USA,Other,Other
p9,CA,USA,Other,Other
p33,CO,USA,Other,Other
p34,CO,USA,Other,Other
p132,CT,USA,Other,Other
p125,DE,USA,Other,Other
p101,FL,USA,Other,Other
p102,FL,USA,Other,Other
p91,FL,USA,Other,Other
p94,GA,USA,GA,GA
p45,IA,USA,Other,Other
p69,IA,USA,Other,Other
p70,IA,USA,Other,Other
p14,ID,USA,Other,Other
p15,ID,USA,Other,Other
p16,ID,USA,Other,Other
p80,IL,USA,Other,Other
p81,IL,USA,Other,Other
p82,IL,USA,Other,Other
p83,IL,USA,Other,Other
p105,IN,USA,Other,Other
p106,IN,USA,Other,Other
p107,IN,USA,Other,Other
p52,KS,USA,Other,Other
p53,KS,USA,Other,Other
p108,KY,USA,Other,Other
p109,KY,USA,Other,Other
p110,KY,USA,Other,Other
p93,KY,USA,Other,Other
p58,LA,USA,Other,Other
p86,LA,USA,Other,Other
p131,MA,USA,Other,Other
p121,MD,USA,Other,Other
p123,MD,USA,Other,Other
p134,ME,USA,Other,Other
p103,MI,USA,Other,Other
p104,MI,USA,Other,Other
p74,MI,USA,Other,Other
p42,MN,USA,Other,Other
p43,MN,USA,Other,Other
p44,MN,USA,Other,Other
p68,MN,USA,Other,Other
p54,MO,USA,Other,Other
p55,MO,USA,Other,Other
p71,MO,USA,Other,Other
p72,MO,USA,Other,Other
p73,MO,USA,Other,Other
p84,MO,USA,Other,Other
p87,MS,USA,Other,Other
p88,MS,USA,Other,Other
p17,MT,USA,Other,Other
p18,MT,USA,Other,Other
p19,MT,USA,Other,Other
p20,MT,USA,Other,Other
p35,MT,USA,Other,Other
p97,NC,USA,Carolinas,Duke
p98,NC,USA,Carolinas,Duke
p36,ND,USA,Other,Other
p37,ND,USA,Other,Other
p39,NE,USA,Other,Other
p40,NE,USA,Other,Other
p41,NE,USA,Other,Other
p130,NH,USA,Other,Other
p126,NJ,USA,Other,Other
p31,NM,USA,Other,Other
p47,NM,USA,Other,Other
p12,NV,USA,Other,Other
p13,NV,USA,Other,Other
p127,NY,USA,Other,Other
p128,NY,USA,Other,Other
p111,OH,USA,Other,Other
p112,OH,USA,Other,Other
p113,OH,USA,Other,Other
p114,OH,USA,Other,Other
p49,OK,USA,Other,Other
p50,OK,USA,Other,Other
p51,OK,USA,Other,Other
p5,OR,USA,Other,Other
p6,OR,USA,Other,Other
p7,OR,USA,Other,Other
p115,PA,USA,Other,Other
p119,PA,USA,Other,Other
p120,PA,USA,Other,Other
p122,PA,USA,Other,Other
p133,RI,USA,Other,Other
p95,SC,USA,Carolinas,Duke
p96,SC,USA,Carolinas,East SC
p32,SD,USA,Other,Other
p38,SD,USA,Other,Other
p92,TN,USA,TN,TN
p48,TX,USA,Other,Other
p57,TX,USA,Other,Other
p59,TX,USA,Other,Other
p60,TX,USA,Other,Other
p61,TX,USA,Other,Other
p62,TX,USA,Other,Other
p63,TX,USA,Other,Other
p64,TX,USA,Other,Other
p65,TX,USA,Other,Other
p66,TX,USA,Other,Other
p67,TX,USA,Other,Other
p25,UT,USA,Other,Other
p26,UT,USA,Other,Other
p100,VA,USA,Other,Other
p118,VA,USA,VA,VA
p124,VA,USA,Other,Other
p99,VA,USA,VA,VA
p129,VT,USA,Other,Other
p1,WA,USA,Other,Other
p2,WA,USA,Other,Other
p3,WA,USA,Other,Other
p4,WA,USA,Other,Other
p46,WI,USA,Other,Other
p75,WI,USA,Other,Other
p76,WI,USA,Other,Other
p77,WI,USA,Other,Other
p78,WI,USA,Other,Other
p79,WI,USA,Other,Other
p116,WV,USA,Other,Other
p117,WV,USA,Other,Other
p21,WY,USA,Other,Other
p22,WY,USA,Other,Other
p23,WY,USA,Other,Other
p24,WY,USA,Other,Other
