Generator,Colour
Battery,#FF4A88
BESS charging,#FF4A88
BESS discharging,#FF4A88
Biomass,#5B9844
Coal,#222222
Combined Cycle Gas Turbine,#52216B
Combustion Turbine,#C2A1DB
CSP,#FC761A
Curtailment,#E1E1E1
dPV,#FFAB02
Dual Fuel,#000080
DualFuel,#000080
FLECCS plant,#52216B
Gas-CC,#52216B
Gas-CC CCS,#5E1688
Gas-CT,#853D65
Gas-IC,#C2A1DB
Geothermal,#A96235
Hydro,#187F94
Hydropower,#187F94
Hydro run-of-river,#518F99
Hydro storage,#187F95
Landfill gas,#88BA41
Net Imports,#193A71
Nuclear,#820000
Ocean,#000080
Offshore Wind,#106BA7
OffshoreWind,#106BA7
Oil,#853D65
Oil-Gas-Steam,#3D3376
Oil/Gas,#853D65
OSW-Battery,#9B014F
Other,#FF7FBB
PV,#FFC903
PV-Battery,#D1C202
Steam Turbine,#222223
Storage,#FF4A88
Battery,#FF4A88
Other,#FF7FBB
Net Imports,#2762c4
Curtailment,#E1E1E1
Offshore Wind,#106BA7
OffshoreWind,#106BA7
Storage discharge,#FF4A88
Tidal,#000080
Wind,#00B6EF
