region,Usual_and_RTOZone
01-Central_MX,Mexico
02-Oriental_MX,Mexico
03-Occidental_MX,Mexico
04-Noroeste_MX,Mexico
05-Norte_MX,Mexico
06-Noreste_MX,Mexico
07-Peninsular_MX,Mexico
08-Baja California_MX,Mexico
09-Baja California Sur_MX,Mexico
10-Mulege_MX,Mexico
AEC_EI,OSERC
AECIZ_EI,OSERC
AESO_WI,AB
ATC_EI,MISO-C
AVA_WI,NorthwestUS
AZPS_WI,Southwest
BANC_WI,California
BCHA_WI,BC
BEPC_EI,SPP-N
BLACKWATER-ACDC_EI,SPP
BPAT_WI,NorthwestUS
BREC_EI,MISO-C
CAPITL_EI,NYISO
CBPC-NIPCO_EI,SPP
CENTRL_EI,NYISO
CFE_WI,California
CHPD_WI,NorthwestUS
CIPB_WI,California
CIPV_WI,California
CISC_WI,California
CISD_WI,California
CONS_EI,MISO-C
CPLE_EI,OSERC
CPLW_EI,OSERC
CSWS+_EI,SPP
CT_EI,ISONE
DECO_EI,MISO-C
DOM_EI,PJM-DOM
DOPD_WI,NorthwestUS
DUK_EI,DUKE
DUNWOD_EI,NYISO
EDE_EI,SPP
EES-ARK_EI,MISO-S
EES-TX_EI,MISO-S
EMAAC_EI,PJM-E
EPE_WI,Southwest
FLA_EI,FRCC
GCPD_WI,NorthwestUS
GENESE_EI,NYISO
Houston_ERC,ERCOT
HUD VL_EI,NYISO
IA-E_EI,MISO-N
IID_WI,California
IL-C_EI,MISO-C
IN-C_EI,MISO-C
IN-S_EI,MISO-C
IPFE_WI,RockiesUS
IPMV_WI,RockiesUS
IPTV_WI,RockiesUS
KCPL+_EI,SPP
LA-Gulf_EI,MISO-S
LA-N_EI,MISO-S
LAMAR-ACDC_EI,SPP
LDWP_WI,California
LES_EI,SPP
LGEE_EI,OSERC
LONGIL_EI,NYISO
MC-ACDC_EI,SPP-N
MDU_EI,MISO-N
MEC_EI,MISO-N
MH_EI,MH
MHK VL_EI,NYISO
MILLWD_EI,NYISO
MISO-MO_EI,MISO-C
MISO-MS_EI,MISO-C
MN-C_EI,MISO-N
MN-NE_EI,MISO-N
MN-NW_EI,MISO-N
MN-SE_EI,MISO-N
N.Y.C._EI,NYISO
NE-ME_EI,ISONE
NEMASSBOST_EI,ISONE
NEVP_WI,Southwest
NEW_BRUNSWICK_EI,Maritimes
NewFoundland_EI,HQ
NH_EI,ISONE
NIPS_EI,MISO-C
Non-Ercot_ERC,ERCOT
NORTH_EI,NYISO
North_ERC,ERCOT
NPPD_EI,SPP
NWMT_WI,Montana
NWPS_EI,SPP-N
OKGE_EI,SPP
ONTE_EI,IESO
ONTW_EI,IESO
OPPD_EI,SPP
PACW_WI,NorthwestUS
PAID_WI,RockiesUS
Panhandle_ERC,ERCOT
PAUT_WI,RockiesUS
PAWY_WI,RockiesUS
PGE_WI,NorthwestUS
PJM-C_EI,PJM-C
PJM-E_EI,PJM-E
PJM-W_EI,PJM-W
PNM_WI,Southwest
PSCO_WI,RockiesUS
PSEI_WI,NorthwestUS
Quebec_EI,HQ
RC-ACDC_EI,SPP-N
RI_EI,ISONE
RMAAC_EI,PJM-E
SC_EI,SC_GA
SCEG_EI,SC_GA
SCL_WI,NorthwestUS
SECI_EI,SPP
SEMASS_EI,ISONE
SIDNEY-ACDC_EI,SPP
SIPC_EI,MISO-C
SOCO_EI,SC_GA
South_ERC,ERCOT
SPA+_EI,SPP
SPC_EI,SaskPower
SPPC_WI,Southwest
SPS_EI,SPP
SRP_WI,Southwest
STEGAL-ACDC_EI,SPP
TEPC_WI,Southwest
TH_Malin_WI,NorthwestUS
TH_Mead_WI,Southwest
TH_PV_WI,Southwest
TIDC_WI,California
TPWR_WI,NorthwestUS
TVAZ_EI,TVA
UPPC_EI,MISO-C
VEA_WI,California
VT_EI,ISONE
WACM_WI,RockiesUS
WALC_WI,Southwest
WAPA_DK_EI,SPP-N
WAUW_WI,Montana
WCMASS_EI,ISONE
WEST_EI,NYISO
West_ERC,ERCOT
WFEC_EI,SPP
WR_EI,SPP
