Figure Output Name,Plot Graph,Plot Property,Y-Axis Max,Day Before,Day After,Timezone,Start date,End date,Timeseries Plot Resolution,Group by Scenario or Year-Scenario,Custom Data File,Marmot Module,Method
Total_Curtailment,FALSE,,,,,,,,,Scenario,,curtailment,curt_total
Stacked_Gen,FALSE,,,,,EST,,,Interval,,,generation_stack,gen_stack
Stacked_Gen_annual,FALSE,,,,,EST,,,Annual,,,generation_stack,gen_stack
Stacked_Gen_Min_Net_Load,FALSE,Min Net Load,,3,3,EST,1/2/40,2040,Interval,,,generation_stack,gen_stack
Stacked_Gen_Peak_Demand,FALSE,Peak Demand,,3,3,EST,,,Interval,,,generation_stack,gen_stack
Stacked_Gen_Peak_RE,FALSE,Peak RE,,3,3,EST,1/2/40,2040,Interval,,,generation_stack,gen_stack
Stacked_Gen_Peak_Unserved_Energy,FALSE,Peak Unserved Energy,,3,3,EST,1/2/40,2040,Interval,,,generation_stack,gen_stack
Stacked_Gen_Peak_Curtailment,FALSE,Peak Curtailment,,3,3,EST,1/2/40,2040,Interval,,,generation_stack,gen_stack
Stacked_Gen_Min_Net_Load_annual,FALSE,Min Net Load,,3,3,EST,2010,2040,Annual,,,generation_stack,gen_stack
Stacked_Gen_Peak_Demand_annual,FALSE,Peak Demand,,3,3,EST,2010,2040,Annual,,,generation_stack,gen_stack
Stacked_Gen_Peak_RE_annual,FALSE,Peak RE,,3,3,EST,2010,2040,Annual,,,generation_stack,gen_stack
Stacked_Gen_Peak_Unserved_Energy_annual,FALSE,Peak Unserved Energy,,3,3,EST,2010,2040,Annual,,,generation_stack,gen_stack
Stacked_Gen_Peak_Curtailment_annual,FALSE,Peak Curtailment,,3,3,EST,2010,2040,Annual,,,generation_stack,gen_stack
All_Regions_Price_Duration_Curve,FALSE,,150,,,,,,,,,prices,pdc_all_regions
Detailed_Total_Generation_Cost,FALSE,,,,,,,,,Scenario,,production_cost,detailed_gen_cost
Detailed_Total_Generation_Cost_by_year,FALSE,,,,,,2030,2050,,Year-Scenario,,production_cost,detailed_gen_cost
Detailed_Total_Generation_Cost_Diff,FALSE,,,,,,,,,Scenario,,production_cost,detailed_gen_cost_diff
Detailed_Total_Generation_Cost_Diff_by_year,FALSE,,,,,,,,,Year-Scenario,,production_cost,detailed_gen_cost_diff
Total_Generation,FALSE,,,,,,,,,Scenario,,total_generation,total_gen
Total_Generation_by_year,FALSE,,,,,,,,,Year-Scenario,,total_generation,total_gen
Total_Generation_Monthly,FALSE,,,,,EST,1/2/40,2040,,,,total_generation,total_gen_monthly
Total_Generation_Diff,TRUE,,,,,,,,,Scenario,,total_generation,total_gen_diff
Total_Generation_Diff_by_year,FALSE,,,,,,,,,Year-Scenario,,total_generation,total_gen_diff
Total_Installed_Capacity,FALSE,,,,,,2035,2035,,Scenario,,total_installed_capacity,total_cap
Total_Installed_Capacity_Diff,FALSE,,,,,,,,,Scenario,,total_installed_capacity,total_cap_diff
Individual_Interface_Flow,FALSE,"Interface-1-2,Interface-3-2",,,,EST,,,,,,transmission,interface_flow_ind
Individual_Line_Flow_duration_curve,FALSE,AK Intertie,,,,,,,,,,transmission,line_flow_ind
Individual_flow_diff_duration_curve,FALSE,113_316_1,,,,EST,1/10/24,1/20/24,,,,transmission,line_flow_ind_diff
Line_Utilization_Duration,FALSE,,,,,,,,,,,transmission,line_util
Line_Violations_Totals,FALSE,,,,,,,,,,,transmission,line_violations_totals
Region-Region_Net_Interchange_Checkerboard,FALSE,,,,,,,,,,,transmission,region_region_checkerboard
All_Region-Region_Net_Interchange,FALSE,,,,,EST,,,,,,transmission,region_region_interchange_all_regions
Zonal_Interchange,FALSE,,,,,,,,,,,transmission,zonal_interchange
Zonal_Interchange_duration_curve,FALSE,,,,,,,,,,,transmission,zonal_interchange
Zonal_Interchange_Total,FALSE,,,,,,,,,,,transmission,zonal_interchange_total
Total_Unserved_Energy,FALSE,,,,,,,,,Scenario,,unserved_energy,tot_unserved_energy
