data_type,group,data_set,collect_data,description
interval,zone,Dump Energy,FALSE,
year,generator,Installed Capacity,FALSE,Nameplate power capacity (Max Capacity x Units)
year,line,Export Limit,FALSE,Transmission capacity
year,line,Import Limit,FALSE,Transmission capacity
interval,region,Net Interchange,FALSE,
interval,zone,Net Interchange,FALSE,
interval,interface,Flow,FALSE,
interval,interface,Shadow Price,FALSE,
interval,interface,Violation,FALSE,
interval,interface,Hours Congested,FALSE,
interval,region_regions,Net Interchange,FALSE,
year,interface,Import Limit,FALSE,
year,interface,Export Limit,FALSE,
year,generator,Hours at Minimum,FALSE,
year,generator,Emissions Cost,FALSE,
year,generator,Fuel Cost,FALSE,
year,generator,Start & Shutdown Cost,FALSE,
year,generator,VO&M Cost,FALSE,
year,interface,Hours Congested,FALSE,
interval,interface,Import Limit,FALSE,
interval,interface,Export Limit,FALSE,
interval,generator,Total Generation Cost,FALSE,
interval,generator,Net Reserves Revenue,FALSE,
interval,generator,Reserves VO&M Cost,FALSE,
interval,emission,Intensity,FALSE,
interval,reserve,Cost,FALSE,
interval,region,Total Generation Cost,FALSE,
interval,zone,Cost to Load,FALSE,
interval,zone,Emissions Cost,FALSE,The total cost for operating a generator during each timestep.
interval,zone,Generator FO&M Cost,FALSE,
interval,zone,Generator Net Profit,FALSE,
interval,zone,Generator Net Revenue,FALSE,
interval,zone,Generator Pool Revenue,FALSE,
interval,zone,Import Revenue,FALSE,
interval,zone,Net Cost of Exports,FALSE,
interval,zone,Settlement Surplus,FALSE,
interval,zone,Total Fixed Costs,FALSE,
interval,zone,Total Generation Cost,FALSE,
interval,node,Price,FALSE,
interval,node,Load,FALSE,
interval,node,Generation,FALSE,
interval,node,Dump Energy,FALSE,
interval,line,Export Limit,FALSE,Transmission capacity
interval,line,Import Limit,FALSE,Transmission capacity
interval,abatement,Abatement,FALSE,
interval,batterie,Generation,FALSE,
interval,batterie,SoC,FALSE,
interval,batterie,Load,FALSE,
