Input,Input_type,Importance,User_defined_value
PLEXOS_Solutions_folder,folder,required,/Users/mschwarz/Marmot_local/Marmot/example-data/hourly
Marmot_Solutions_folder,folder,optional,
Scenario_process_list,List,required,"Base DA, High VG DA"
VoLL,int,required,10000
Region_Mapping.csv_name,string,optional(default),
gen_names.csv_name,string,required(default),gen_names.csv
emit_names.csv_name,string,required(default),emit_names.csv
Scenarios,string or List,required,"Base DA, High VG DA"
Scenario_Diff_plot,List,optional,
AGG_BY,string,required,region
zone_region_sublist,List,optional,
TECH_SUBSET,string,optional,
Facet_ylabels,List,optional,
Facet_xlabels,List,optional,
Tick_labels,List,optional,
