data_type,group,data_set,collect_data,description,Marmot Property
interval,generator,generation_actual,True,Output from each generator by timestep,generator_Generation
interval,generator,generation_availability,True,RE Generation available capacity,generator_Available_Capacity
interval,generator,installed_capacity,True,Installed capacity,generator_Installed_Capacity
interval,region,regional_load,True,region demand,region_Demand
interval,reserves_generators,reserve_contribution,True,reserve provison by generator,reserves_genertaors_Provision
interval,line,power_flow_actual,True,Line flow MW,line_Flow
