data_type,group,data_set,collect_data,unit_multiplier,Units,description,
interval,generator,Available Capacity,TRUE,1,MW,Rated Capacity - maintenance - Forced Outage,
interval,generator,Capacity Curtailed,FALSE,1,MW,Amount of Capacity with ) VO&M costs that is not generating.,
interval,generator,Curtailment Factor,FALSE,1,%,Capacity curtailed but reported as a percentage.,
interval,generator,Emissions Cost,FALSE,1,$,Emissions costs reported by generator.,
interval,generator,Forced Outage,FALSE,1,MW,Capacity lost to random forced outages.,
interval,generator,Fuel Cost,TRUE,1,$,Amount paid by each generator for fuel at each timestep.,
interval,generator,Fuel Offtake,FALSE,1,GJ or MMBTU,Amount of fuel consumed by generator and timestep.,
interval,generator,Generation,TRUE,1,MW,Output from each generator by timestep,
interval,generator,Maintenance,FALSE,1,MW,This depends on the simulation phase that is used. What simulation phase do we use???,
interval,generator,Price Received,FALSE,1,$/MWh,Default is for generators to receive the weighted-average price at the nodes they are connected to.,
interval,generator,Pump Load,TRUE,1,MW,The amount that a generator charges during a timestep.,
interval,generator,Pump Price Paid,FALSE,1,$/MWh,The price a storage generator pays to charge.,
interval,generator,Ramp Down Price,FALSE,1,$/MW,The marginal price the system would pay for addition down-ramping capability.,
interval,generator,Ramp Up Price,FALSE,1,$/MW,The marginal price the system would pay for addition up-ramping capability.,
interval,generator,Reserves Revenue,TRUE,1,$,Revenue from providing reserves by generator and timestep.,
interval,generator,SRMC,FALSE,1,$/MWh,The marginal cost for a generator to provide an additional MW of power.,
interval,generator,Start & Shutdown Cost,TRUE,1,$,The amount spent starting and stopping generators by timestep.,
year,generator,Total Generation Cost,TRUE,1000,"$1,000 ",The total cost for operating a generator during each timestep.,
interval,generator,Units Generating,TRUE,1,Unitless,The fraction at which a generator is operating.,
interval,generator,Units Out,FALSE,1,Unitless,Number of units on outage.,
interval,generator,VO&M Cost,FALSE,1,$,The total amount in VO&M paid to generate (VO&M charge x Generation),
interval,generator,Pool Revenue,FALSE,1,,,
interval,generator,Net Revenue,FALSE,1,,,
interval,constraint,Activity,FALSE,1,varies,The value of the left-hand side of a constraint.,
interval,constraint,Violation,FALSE,1,varies,The amount of a constraint violation.,
interval,constraint,Price,FALSE,1,,,
interval,constraint,Hours Binding,FALSE,1,,,
interval,emission,Cost,FALSE,1,$,"The cost of emissions charged at ""Price"" (if defined, otherwise at ""Shodow Price""",
interval,emission,Production,TRUE,1,kg,Total emissions production by timestep.,
interval,emissions_generators,Production,TRUE,1,lb,Emissions produced by generator for each timestep. Specify the units outputted by the xml you are using here (e.g. kg or lb), Marmot will do the appropriate conversion to metric tons. 
interval,fuel,Cost,FALSE,1,$,Cost of fuel by timestep.,
interval,fuel,Offtake,FALSE,1,GJ or MMBTU,Fuel consumed by generator and timestep.,
interval,fuel,Price,FALSE,1,,,
interval,line,Flow,TRUE,1,MW,"Flow from ""Node From"" to ""Node To""",
interval,line,Hours Congested,FALSE,1,hours,Hours when the line is flowing at its max/min,
interval,line,Shadow Price,FALSE,1,$/MW,The marginal price the system would pay for another MW of transmission capacity.,
interval,line,Violation,FALSE,1,MW,"The amount the constraint is violated by, only possible if a ""Limit Penalty"" has been defined.",
interval,region,Exports,FALSE,1,MW,Total exports from a region,
interval,region,Fixed Load,FALSE,1,MW,Load that is exogenously assigned.,
interval,region,Generation,FALSE,1,MW,Total Generation within a region,
interval,region,Imports,FALSE,1,MW,Total imports to a region,
interval,region,Load,TRUE,1,MW,Total load within a region,
interval,region,Price,TRUE,1,$/MWh,Depends on the load settlement model used. What load settlement model are we using???,
interval,region,Unserved Energy,TRUE,1,MW,Dropped load in a region,
interval,region,Dump Energy,TRUE,1,,,
interval,reserve,Price,FALSE,1,$/MW,Marginal value of providing reserves in that region,
