data_type,group,data_set,collect_data,unit_multiplier,Units,description,
interval,reserve,Provision,FALSE,1,MW,Reserves provided by region and timestep.,
interval,reserve,Shortage,FALSE,1,MW,Rserve shortages by region and timestep.,
interval,reserve,Risk,FALSE,1,,,
interval,reserves_generators,Provision,FALSE,1,MW,Rserves provided by generator and timestep,
interval,reserves_generators,Revenue,FALSE,1,$,Revenue a generator gets from providing reserves,
interval,storage,End Volume,FALSE,1,GWh,Storage volume at end of timestep,
interval,storage,Generation,FALSE,1,MW,Generation from storage resources by timestep.,
interval,storage,Inflow,FALSE,1,MW,Natural inflow: applies to CSP-TES,
interval,storage,Initial Volume,TRUE,1,GWh,Storage volume at the beginning of each timestep.,
interval,storage,Pump Load,FALSE,1,MW,The amount that a storage resource charges during a timestep.,
interval,storage,Spill,FALSE,1,MW,Natural inflow that cannot be stored.,
interval,storage,Release,FALSE,1,,,
interval,zone,Generation,FALSE,1,MW,Total generation in an RTO,
interval,zone,Load,FALSE,1,MW,Total load in an RTO,
interval,zone,Price,FALSE,1,$/MWh,Depends on the load settlement model used. What load settlement model are we using???,
interval,zone,Unserved Energy,FALSE,1,MW,Unserved energy in an RTO,
interval,zone,Dump Energy,FALSE,1,,,
year,generator,Installed Capacity,TRUE,1,MW,Nameplate power capacity (Max Capacity x Units),
year,line,Export Limit,FALSE,1,MW,Transmission capacity,
year,line,Import Limit,FALSE,1,MW,Transmission capacity,
interval,region,Net Interchange,FALSE,1,MW,,
interval,zone,Net Interchange,FALSE,1,MW,,
interval,interface,Flow,FALSE,1,MW,,
interval,interface,Shadow Price,FALSE,1,$/MW,,
interval,interface,Violation,FALSE,1,MW,,
interval,interface,Hours Congested,FALSE,1,hours,,
interval,region_regions,Net Interchange,TRUE,1,MW,,
year,interface,Import Limit,FALSE,1,MW,,
year,interface,Export Limit,FALSE,1,MW,,
year,generator,Hours at Minimum,FALSE,1,hours,,
year,generator,Emissions Cost,TRUE,1000,$0 ,,
year,generator,Fuel Cost,TRUE,1000,$0 ,,
year,generator,Start & Shutdown Cost,TRUE,1000,$0 ,,
year,generator,VO&M Cost,TRUE,1000,$0 ,,
year,interface,Hours Congested,FALSE,1,hours,,
interval,interface,Import Limit,FALSE,1,MW,,
interval,interface,Export Limit,FALSE,1,MW,,
interval,generator,Total Generation Cost,FALSE,1,$,,
interval,generator,Net Reserves Revenue,FALSE,1,,,
interval,generator,Reserves VO&M Cost,FALSE,1,,,
interval,emission,Intensity,FALSE,1,,,
interval,reserve,Cost,FALSE,1,,,
interval,region,Total Generation Cost,FALSE,1,,,
interval,zone,Cost to Load,FALSE,1,,,
interval,zone,Emissions Cost,FALSE,1,,The total cost for operating a generator during each timestep.,
interval,zone,Generator FO&M Cost,FALSE,1,,,
interval,zone,Generator Net Profit,FALSE,1,,,
interval,zone,Generator Net Revenue,FALSE,1,,,
interval,zone,Generator Pool Revenue,FALSE,1,,,
interval,zone,Import Revenue,FALSE,1,,,
interval,zone,Net Cost of Exports,FALSE,1,,,
interval,zone,Settlement Surplus,FALSE,1,,,
interval,zone,Total Fixed Costs,FALSE,1,,,
interval,zone,Total Generation Cost,FALSE,1,,,
interval,node,Price,FALSE,1,,,
interval,node,Load,FALSE,1,,,
interval,node,Generation,FALSE,1,,,
interval,node,Dump Energy,FALSE,1,,,
interval,line,Export Limit,FALSE,1,MW,Transmission capacity,
interval,line,Import Limit,FALSE,1,MW,Transmission capacity,
interval,abatement,Abatement,TRUE,1,,,
interval,waterway,Flow,TRUE,1,,,
